module	path	base_blob_oid	current_tier	debt_flags	phase_scope	lane_id	wave_id	planned_actions	rationale
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.KreissBridge	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.lean	a4a1f7e762d66404b52d947b1187c0957c9b9c2b	reusable	noncanonical_modules	in_scope	codex-lane	R07	rename	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.MatrixPowersBaiDemmelGu	NumStability/Analysis/MatrixPowersBaiDemmelGu.lean	ac5b7ff504f9f66980fd191b772cf8d0ff6e8ae2	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;document;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.MatrixPowersBaiDemmelGuDistance	NumStability/Analysis/MatrixPowersBaiDemmelGuDistance.lean	d5726c9b84c5dd1b8b90cff0001468374f089bad	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.MatrixPowersBinomialBound	NumStability/Analysis/MatrixPowersBinomialBound.lean	1006de836f6d95cf7d3d00483370a347a8bcb93f	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.MatrixPowersGautschi	NumStability/Analysis/MatrixPowersGautschi.lean	07d51110a792be079c1205f7693d99bab4852285	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;document;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.MatrixPowersHenrici	NumStability/Analysis/MatrixPowersHenrici.lean	d4294ce22974b7139bb282078b3149d3a2ee6669	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.MatrixPowersHenriciNormal	NumStability/Analysis/MatrixPowersHenriciNormal.lean	e8f693ba462480d2d36c3dbb5fad8525065e2205	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;document;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.MatrixPowersKreiss	NumStability/Analysis/MatrixPowersKreiss.lean	b2e240cc0369e2858277c837542227b7fc422184	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.MatrixPowersKreissSpijker	NumStability/Analysis/MatrixPowersKreissSpijker.lean	7213cc1236038e532708cc5ce4d04794b2c9683e	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;document;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.MatrixPowersLaszlo	NumStability/Analysis/MatrixPowersLaszlo.lean	2c5dda2891d63423ca1c9b390778c04d2eb8dbd3	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;document;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.MatrixPowersLp185Primary	NumStability/Analysis/MatrixPowersLp185Primary.lean	573feaaaa90c811d151dc6dc0e85ffc7bce29ea6	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;document;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.MatrixPowersSchur	NumStability/Analysis/MatrixPowersSchur.lean	7fd000f29e3c9baff1616476d8627f271d4fc6e8	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.MatrixPowersSpijkerClosure	NumStability/Analysis/MatrixPowersSpijkerClosure.lean	da61bf24b8fc11d83eb001fca9e12d600dd669c5	unclassified	noncanonical_modules;unclassified_modules	in_scope	codex-lane	R07	classify;document;migrate;rename;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.MatrixPowersSpijkerPlanar	NumStability/Analysis/MatrixPowersSpijkerPlanar.lean	8bd4f4db31165196dbc6839c0fe4046d0fe14d69	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	NumStability/Analysis/MatrixPowersSpijkerPlanarAnalysis.lean	66e975322b75385adf7eb55429e6de3715b9f262	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.MatrixPowersSpijkerRational	NumStability/Analysis/MatrixPowersSpijkerRational.lean	5534c852b63517b2ad9bdcf581f68e25c4a7d376	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;document;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.NilpotentJordanChain	NumStability/Analysis/NilpotentJordanChain.lean	e79f05048ae4da669a1dddcb51f3b0716ba1773d	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.NumericalRadius	NumStability/Analysis/NumericalRadius.lean	df20cb0021acdf3021f333d6a39a775d52322c85	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.OperatorLog	NumStability/Analysis/OperatorLog.lean	d10c70313d4f6254ffbab0163031b404a935fc3f	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.PseudospectralLowerBound	NumStability/Analysis/PseudospectralLowerBound.lean	bea6a28b2f392fe2dca970dc3ca30eea2c505914	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;document;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.PseudospectralPowerBound	NumStability/Analysis/PseudospectralPowerBound.lean	912e774f0d2fc129ae82378ce21d2105ab310c2e	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;document;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.PseudospectralResolvent	NumStability/Analysis/PseudospectralResolvent.lean	7c305d48544c689d658f178edce6cd0808bd431d	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;document;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.ResolventFunctionalCalculus	NumStability/Analysis/ResolventFunctionalCalculus.lean	978885bbe1e2d058efe03dfe9800e74e11e4559b	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
NumStability.Analysis.SpijkerProjectionIntegral	NumStability/Analysis/SpijkerProjectionIntegral.lean	6bb8216505338afe2463674d52e151f4e7567e85	unclassified	unclassified_modules	in_scope	codex-lane	R07	classify;document;migrate;split	C0008 residual owner assigned exactly once to semantic successor wave R07 (matrix-functions-powers-ch18).
