module	tier	reason
NumStability.Algorithms.Underdetermined.Higham21SNEUniform	compatibility	owner becomes declaration-free wrapper
NumStability.Source.Higham.Chapter21.Theorem04.SourceClosure.Supplement.Core	source	new canonical destination
NumStability.Algorithms.Underdetermined.Higham21Theorem214SourceClosure	compatibility	owner becomes declaration-free wrapper
NumStability.Algorithms.LinearSystems.Underdetermined.MinimumNorm.Solvers.Executor.Core	per-imports at delivery (source if it imports Source, else reusable)	new canonical destination
NumStability.Algorithms.Underdetermined.UnderdeterminedSolve	compatibility	owner becomes declaration-free wrapper
NumStability.Algorithms.Underdetermined.UnderdeterminedSpec	compatibility	declaration-free legacy wrapper classified in place
NumStability.Source.Higham.Chapter20.Equations.Core.Results	source	new leaf under source umbrella
NumStability.Source.Higham.Chapter20.Lemma11.Core.Results	source	new leaf under source umbrella
NumStability.Source.Higham.Chapter20.Prose.Core.Results	source	new leaf under source umbrella
NumStability.Source.Higham.Chapter20.Theorem03.Core.Results	source	new leaf under source umbrella
NumStability.Source.Higham.Chapter20.Theorem04.Core.Results	source	new leaf under source umbrella
NumStability.Source.Higham.Chapter20.Theorem07.Core.Results	source	new leaf under source umbrella
NumStability.Source.Higham.Chapter20.Theorem08.Core.Results	source	new leaf under source umbrella
NumStability.Source.Higham.Chapter21.Corrections.CorrectedMGS.RoundedReplay	source	new canonical destination
NumStability.Source.Higham.Chapter21.Corrections.Problem19_12.RoundedReplay	compatibility	owner becomes declaration-free wrapper
