module	tier	reason
NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockMethod2B.FirstOrderBound	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter14.Problem12.ConditionNumberExamples.StressAndPeiMatrices	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter14.Problem13	aggregate	declarations evacuate to a new child; historical source path becomes aggregate
NumStability.Source.Higham.Chapter14.Problem13.ConditionNumberBounds.UnitRowAndScalarCase	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter14.Problem14	aggregate	declarations evacuate to a new child; historical source path becomes aggregate
NumStability.Source.Higham.Chapter14.Problem14.FloatingPointDeterminant.HymanBackwardError	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter14.Problem15	aggregate	declarations evacuate to a new child; historical source path becomes aggregate
NumStability.Source.Higham.Chapter14.Problem15.SingularValueGuards.DeterminantSignAndRelativeBounds	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ComposedCoefficientFamilies.RemainderAsymptotics	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ScaledPerturbationEndpoints.ForwardError	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1B.BlockResidual.WholeMatrixBounds	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.BlockResidual.LeftResidualBounds	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.WholeMatrixResidual.LeftResidualBounds	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter14.Theorem05.EliminationFamilies.CoefficientAsymptotics	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter14.Theorem05.PrintedEnvelopes.CorrectionBounds	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter14.Theorem05.PrintedTrace.VanishingEndpoints	source	new casefold-vacant semantic declaration destination
