module	role	import
NumStability.Algorithms.Ch14Corollary147Closure	compatibility-shim	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.Closure
NumStability.Algorithms.Ch14Corollary147Concrete	compatibility-shim	NumStability.Algorithms.Ch14Corollary147
NumStability.Algorithms.Ch14Corollary147Concrete	compatibility-shim	NumStability.Algorithms.Ch14Corollary147Closure
NumStability.Algorithms.Ch14Corollary147Concrete	compatibility-shim	NumStability.Algorithms.Ch14GaussJordanQConstruction
NumStability.Algorithms.Ch14Corollary147Concrete	compatibility-shim	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.Concrete
NumStability.Algorithms.Ch14Corollary147SourceClosure	compatibility-shim(new)	NumStability.Algorithms.Ch14Corollary147WeakFamily
NumStability.Algorithms.Ch14Corollary147SourceClosure	compatibility-shim(new)	NumStability.Algorithms.Ch14GJESourceAccumulationBridge
NumStability.Algorithms.Ch14Corollary147SourceClosure	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.SourceClosure
NumStability.Algorithms.Ch14Corollary147SourceClosure	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Corollary07.PrintedTraceFamilies.ResidualAndForwardEndpoints
NumStability.Algorithms.Ch14Corollary147WeakFamily	compatibility-shim(new)	NumStability.Algorithms.Ch14AsymptoticFamilies
NumStability.Algorithms.Ch14Corollary147WeakFamily	compatibility-shim(new)	NumStability.Algorithms.Ch14Corollary147Closure
NumStability.Algorithms.Ch14Corollary147WeakFamily	compatibility-shim(new)	NumStability.Algorithms.Ch14Corollary147Concrete
NumStability.Algorithms.Ch14Corollary147WeakFamily	compatibility-shim(new)	NumStability.Algorithms.Ch14GJEAsymptoticFamilies
NumStability.Algorithms.Ch14Corollary147WeakFamily	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.WeakFamily
NumStability.Algorithms.Ch14Corollary147WeakFamily	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Corollary07.WeakDominanceFamilies.ResidualAndForwardBounds
NumStability.Algorithms.Ch14ForwardErrorEndpoint	compatibility-shim(new)	Mathlib.Analysis.Asymptotics.Lemmas
NumStability.Algorithms.Ch14ForwardErrorEndpoint	compatibility-shim(new)	NumStability.Algorithms.MatrixInversion
NumStability.Algorithms.Ch14ForwardErrorEndpoint	compatibility-shim(new)	NumStability.Analysis.MatrixAlgebra
NumStability.Algorithms.Ch14ForwardErrorEndpoint	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Problem05.InverseBasedSolve.ForwardErrorEndpoint
NumStability.Algorithms.Ch14ForwardErrorEndpoint	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ForwardErrorEndpoint
NumStability.Algorithms.Ch14ForwardErrorEndpoint	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ScaledPerturbationEndpoints.ForwardError
NumStability.Algorithms.Ch14ForwardErrorEndpoint	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1.ForwardErrorEndpoint
NumStability.Algorithms.Ch14GJEActualDoolittleAdapter	compatibility-shim	NumStability.Algorithms.Ch14GJEFinalDivisionClosure
NumStability.Algorithms.Ch14GJEActualDoolittleAdapter	compatibility-shim	NumStability.Source.Higham.Chapter09.DoolittleClosure
NumStability.Algorithms.Ch14GJEActualDoolittleAdapter	compatibility-shim	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEActualDoolittleAdapter
NumStability.Algorithms.Ch14GJEAsymptoticFamilies	compatibility-shim(new)	NumStability.Algorithms.Ch14AsymptoticFamilies
NumStability.Algorithms.Ch14GJEAsymptoticFamilies	compatibility-shim(new)	NumStability.Algorithms.Ch14GaussJordanQConstruction
NumStability.Algorithms.Ch14GJEAsymptoticFamilies	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Theorem05.EliminationFamilies.CoefficientAsymptotics
NumStability.Algorithms.Ch14GJEAsymptoticFamilies	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.GJEAsymptoticFamilies
NumStability.Algorithms.Ch14GJEFinalDivisionClosure	compatibility-shim(new)	NumStability.Algorithms.Ch14Corollary146Closure
NumStability.Algorithms.Ch14GJEFinalDivisionClosure	compatibility-shim(new)	NumStability.Algorithms.Ch14Corollary147Closure
NumStability.Algorithms.Ch14GJEFinalDivisionClosure	compatibility-shim(new)	NumStability.Algorithms.Ch14GJEOperationalBridge
NumStability.Algorithms.Ch14GJEFinalDivisionClosure	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure
NumStability.Algorithms.Ch14GJEFinalDivisionClosure	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies
NumStability.Algorithms.Ch14GJEFinalDivisionClosure	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.GJEFinalDivisionClosure
NumStability.Algorithms.Ch14GJEOperationalBridge	compatibility-shim	NumStability.Algorithms.Ch14GJETheorem145SourceClosure
NumStability.Algorithms.Ch14GJEOperationalBridge	compatibility-shim	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEOperationalBridge
NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	compatibility-shim(new)	NumStability.Algorithms.Ch14GJEAsymptoticFamilies
NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.GJEPrintedEnvelopeClosure
