module	tier	reason
NumStability.Source.Higham.Chapter10.Problem01.PositiveSemidefiniteEntries.EntryBounds.Results	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Problem04.UnpivotedGrowth.PositivePivots.Bounds	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Section01.Factorization.ExistenceUniqueness.Results	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Section02.ErrorAnalysis.FactorizationAndSolve.Bounds	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.ConstructiveFactorization.Existence	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.PivotingAndScaling.Results	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.QuadraticFormBounds.WeightedNorm	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.TrailingTermination.Bound	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart.LUGrowth.Equation29	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart.SchurStages.Bounds	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Theorem06.RoundedCholesky.ForwardError.ActualAlgorithm	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Theorem07	aggregate	declarations evacuate to a new child; historical source path becomes aggregate
NumStability.Source.Higham.Chapter10.Theorem07.Core.Results	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Theorem07.SuccessThreshold.Factorization	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Theorem08.ComponentwisePerturbation.NormalizedResolvent.SourceBound	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Theorem08.NormwiseDiscrepancy.Counterexample.Uniqueness	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualComputation.ErrorBounds	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.RankSensitiveError.Bounds	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.RoundedErrorAnalysis.Bounds	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.SchurPerturbation.Family	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.SuccessfulRun.StageBounds	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter11.Theorem07	aggregate	declarations evacuate to a new child; historical source path becomes aggregate
NumStability.Source.Higham.Chapter11.Theorem07.Core.Results	source	new casefold-vacant semantic declaration destination
