src_destination	dst_destination	edge_kind
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.ExpectedCountFormula	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.ProductLaw	signature
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.ExpectedCountFormula	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.RootMeasurability.EigenvalueCounts	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.ExpectedCountFormula	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.AlternatingRankSheets	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.ExpectedCountFormula	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.AlternatingRankSheets	signature
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.ExpectedCountFormula	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.OneRootMomentReduction	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.ExpectedCountFormula	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.OneRootMomentReduction	signature
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.ExpectedCountTransfer	NumStability.Analysis.Polynomials.RealRootCounting	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.ExpectedCountTransfer	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.LebesgueMomentDensities	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.ExpectedCountTransfer	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.LebesgueMomentDensities	signature
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.ExpectedCountTransfer	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.ProductLaw	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.ExpectedCountTransfer	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.ProductLaw	signature
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.ExpectedCountTransfer	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.RootMeasurability.EigenvalueCounts	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.DimensionTwoExact	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.ClosedFormAsymptotics	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.DimensionTwoExact	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.LebesgueMomentDensities	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.DimensionTwoExact	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.LebesgueMomentDensities	signature
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.DimensionTwoExact	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.ProductLaw	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.DimensionTwoExact	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.ProductLaw	signature
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.PlaneSylvesterJacobian	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.CharacteristicProductMoments	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.PlaneSylvesterJacobian	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.ProductLaw	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.PlaneSylvesterJacobian	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.ProductLaw	signature
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.LebesgueMomentDensities	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.ProductLaw	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.LebesgueMomentDensities	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.ProductLaw	signature
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.RootMeasurability.EigenvalueCounts	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.ProductLaw	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.RootMeasurability.EigenvalueCounts	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.ProductLaw	signature
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.AlternatingRankSheets	NumStability.Analysis.Polynomials.RealRootCounting	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.AlternatingRankSheets	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.ExpectedCountTransfer	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.AlternatingRankSheets	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.LebesgueMomentDensities	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.AlternatingRankSheets	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.ProductLaw	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.AlternatingRankSheets	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.ProductLaw	signature
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.AlternatingRankSheets	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.RootMeasurability.EigenvalueCounts	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.OneRootMomentReduction	NumStability.Analysis.TestMatrices.RealGinibre.ProjectiveWeightIntegral	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.OneRootMomentReduction	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.ExpectedCountTransfer	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.OneRootMomentReduction	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.LebesgueMomentDensities	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.OneRootMomentReduction	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.LebesgueMomentDensities	signature
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.OneRootMomentReduction	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.ProductLaw	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.OneRootMomentReduction	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.ProductLaw	signature
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.OneRootMomentReduction	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.AlternatingRankSheets	body
NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.OneRootMomentReduction	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.AlternatingRankSheets	signature
NumStability.Source.Higham.Chapter28.Section02.UniformPositive.PerronAlmostSure	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.ProductLaw	body
NumStability.Source.Higham.Chapter28.Section02.UniformPositive.PerronAlmostSure	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.ProductLaw	signature
NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.HaarConclusion	NumStability.Analysis.TestMatrices.RandomSVD.StewartMeasurability	body
NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.HaarConclusion	NumStability.Analysis.TestMatrices.RandomSVD.StewartMeasurability	signature
NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.RawFiberConclusion	NumStability.Analysis.TestMatrices.Orthogonal.HaarFiberMeasure	body
NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.RawFiberConclusion	NumStability.Analysis.TestMatrices.RandomSVD.GroupLawRecursion	body
NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.RawFiberConclusion	NumStability.Analysis.TestMatrices.RandomSVD.StewartMeasurability	body
NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.RawFiberConclusion	NumStability.Analysis.TestMatrices.RandomSVD.StewartMeasurability	signature
NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.RawFiberConclusion	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.HaarConclusion	signature
NumStability.Source.Higham.Chapter28.Section04.Pascal.OptimalPerturbationRate	NumStability.Source.Higham.Chapter28.Section04.Pascal.SingularizingPerturbation	body
NumStability.Source.Higham.Chapter28.Section04.Pascal.OscillationEigenbasis	NumStability.Source.Higham.Chapter28.Section04.Pascal.TotalPositivity	body
NumStability.Source.Higham.Chapter28.Section04.Pascal.OscillationSpectrum	NumStability.Source.Higham.Chapter28.Section04.Pascal.OscillationEigenbasis	body
NumStability.Source.Higham.Chapter28.Section04.Pascal.SignChangeCount	NumStability.Source.Higham.Chapter28.Section04.Pascal.OscillationEigenbasis	body
NumStability.Source.Higham.Chapter28.Section04.Pascal.SignChangeCount	NumStability.Source.Higham.Chapter28.Section04.Pascal.OscillationSpectrum	body
NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.CharacteristicPolynomial	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenpairs	body
NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.CharacteristicPolynomial	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors	body
NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SecondDifferenceCondition	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors	body
NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenpairs	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors	body
NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial	NumStability.Source.Higham.Chapter28.Section06.Companion.Nonderogatory	body
