owner_module	path	base_blob_oid	current_tier	debt_flags	declaration_count	semantic_classification	destination_modules	compatibility_action	split_rationale	dependency_rationale	review_status
NumStability.Algorithms.Underdetermined.Higham21Equation21_11Scalar	NumStability/Algorithms/Underdetermined/Higham21Equation21_11Scalar.lean	2ee476025d37ba3efd6d14c7c9194527cf9a5841	unclassified	noncanonical_modules;unclassified_modules	1	relocate_whole	NumStability.Source.Higham.Chapter21.Equation11.ScalarCase.Core	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21Givens	NumStability/Algorithms/Underdetermined/Higham21Givens.lean	92c3b5376398b45a8002a35290713a840085d707	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability/Algorithms/Underdetermined/Higham21GivensClosure.lean	1621651bafffb1fc13234fb7b57cb9c901882e0b	unclassified	noncanonical_modules;unclassified_modules	2	relocate_whole	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.EndToEnd.Core	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability/Algorithms/Underdetermined/Higham21GivensRounded.lean	92a042aa72a2bc7a524f14fbf69e8334e8c162e6	unclassified	noncanonical_modules;unclassified_modules	5	relocate_whole	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.Rounded.Core	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21MGS	NumStability/Algorithms/Underdetermined/Higham21MGS.lean	4c39c3b4fa547c3b7d53092c455df397e6e615a1	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21MGSRounded	NumStability/Algorithms/Underdetermined/Higham21MGSRounded.lean	ea2e56fdf4437d9fd34f5c78614d402d8ad9adce	unclassified	noncanonical_modules;unclassified_modules	14	relocate_whole	NumStability.Algorithms.LinearSystems.Underdetermined.QR.ModifiedGramSchmidt.Rounded.Core	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21Perturbation	NumStability/Algorithms/Underdetermined/Higham21Perturbation.lean	1b4d4c6057b253e1ec6c6dbb21e1d215df4a24fa	unclassified	noncanonical_modules;unclassified_modules	16	relocate_whole	NumStability.Algorithms.LinearSystems.Underdetermined.Perturbation.Bounds.Core	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21PerturbationRadius	NumStability/Algorithms/Underdetermined/Higham21PerturbationRadius.lean	8d453664ae87867474692be111e85db229860607	unclassified	noncanonical_modules;unclassified_modules	14	relocate_whole	NumStability.Algorithms.LinearSystems.Underdetermined.Perturbation.Radius.Core	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21ProjectorNorm	NumStability/Algorithms/Underdetermined/Higham21ProjectorNorm.lean	11b9c2c98fd1ed9e9c05d46fa22ed5197fa8211e	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21QRFoundations	NumStability/Algorithms/Underdetermined/Higham21QRFoundations.lean	2de174cf57609614c6fa796735ef8b9d1b3a567c	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21RankStability	NumStability/Algorithms/Underdetermined/Higham21RankStability.lean	5d2cf857a89bef35582e9d40ebada98c4f89c770	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21SNEActualOutput	NumStability/Algorithms/Underdetermined/Higham21SNEActualOutput.lean	119594f3eaf3803a6b294c8d358d8f4e42afe754	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21SNEClosure	NumStability/Algorithms/Underdetermined/Higham21SNEClosure.lean	c199d465f2ed4b344b2789df8204d45414563d82	unclassified	noncanonical_modules;unclassified_modules	5	relocate_whole	NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.EndToEnd.Core	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21SNEConditionTransfer	NumStability/Algorithms/Underdetermined/Higham21SNEConditionTransfer.lean	f833abcc8997dccc53a7c709c29e70bfb5628f9d	unclassified	noncanonical_modules;unclassified_modules	3	relocate_whole	NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.ConditionTransfer.Core	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21SNEEnvelopeTransfer	NumStability/Algorithms/Underdetermined/Higham21SNEEnvelopeTransfer.lean	a319ff97718c463b31fe671d02cb1ba86477d9fd	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21SNEForward	NumStability/Algorithms/Underdetermined/Higham21SNEForward.lean	b74d9ae8fc7718781e8e3749e782d3997f6ea1f2	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21SNEQRMajorant	NumStability/Algorithms/Underdetermined/Higham21SNEQRMajorant.lean	4147f5648c3879287cad3b10dbf27337d0bd03d0	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21SNERemainderBounds	NumStability/Algorithms/Underdetermined/Higham21SNERemainderBounds.lean	163796ffabe3ccb4d73ae51d7e360a90129ce063	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21SNESigned	NumStability/Algorithms/Underdetermined/Higham21SNESigned.lean	fbbf14e80ec852d766c230da131da153120ae0d9	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21SNEUniform	NumStability/Algorithms/Underdetermined/Higham21SNEUniform.lean	094728d4ebaa092a5b0462fe500c0b6ba2be626c	unclassified	noncanonical_modules;unclassified_modules	10	relocate_whole	NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.Uniform.Core	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.Higham21Theorem214SourceClosure	NumStability/Algorithms/Underdetermined/Higham21Theorem214SourceClosure.lean	098856986e8624a7f16749225ec824ad04b02ba8	unclassified	noncanonical_modules;unclassified_modules	2	relocate_whole	NumStability.Source.Higham.Chapter21.Theorem04.SourceClosure.Supplement.Core	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.UnderdeterminedSolve	NumStability/Algorithms/Underdetermined/UnderdeterminedSolve.lean	63e36ce86669daaed808d33861a9ba8ee3b29f10	unclassified	unclassified_modules	104	relocate_whole	NumStability.Algorithms.LinearSystems.Underdetermined.MinimumNorm.Solvers.Executor.Core	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Underdetermined.UnderdeterminedSpec	NumStability/Algorithms/Underdetermined/UnderdeterminedSpec.lean	46c4b38906b92e02f3eabfd78b3ffb40c5e81dbb	unclassified	unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Analysis.Perturbation.LeastSquares.BackwardError	NumStability/Analysis/Perturbation/LeastSquares/BackwardError.lean	f46c9da77b93d612933a3e7074a4f97d62fab41f	reusable	-	123	retain_document	-	retained with review documentation	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Analysis.Perturbation.LeastSquares.Basic	NumStability/Analysis/Perturbation/LeastSquares/Basic.lean	a369bc66e2f41d3669d58962975958828a87011e	reusable	-	306	retain_document	-	retained with review documentation	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Analysis.Perturbation.LeastSquares.Equality.MixedStability	NumStability/Analysis/Perturbation/LeastSquares/Equality/MixedStability.lean	1047c146512b99eba2520e21ca10f7a619c8b362	source	-	223	retain_document	-	retained with review documentation	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Analysis.Perturbation.LeastSquares.Equality.Perturbation	NumStability/Analysis/Perturbation/LeastSquares/Equality/Perturbation.lean	e31e5c3dad5704696897568ea75fe43f43e05c3c	source	-	495	retain_document	-	retained with review documentation	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Analysis.Perturbation.LeastSquares.Equality.RowwiseBackwardError	NumStability/Analysis/Perturbation/LeastSquares/Equality/RowwiseBackwardError.lean	0cca0f050f931431da19bc53217762546bc60df8	source	-	522	retain_document	-	retained with review documentation	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Source.Higham.Chapter20.Equations	NumStability/Source/Higham/Chapter20/Equations.lean	3ae59809f68c8e076e0fc1bc59909eab5991e7a1	source	declaration_bearing_umbrellas	24	umbrella_extract	NumStability.Source.Higham.Chapter20.Equations.Core.Results	owner keeps name as clean aggregate importing existing children plus new leaf	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Source.Higham.Chapter20.Lemma11	NumStability/Source/Higham/Chapter20/Lemma11.lean	02693a43d25cd47366fcd24e878a294badb9d60e	source	declaration_bearing_umbrellas	20	umbrella_extract	NumStability.Source.Higham.Chapter20.Lemma11.Core.Results	owner keeps name as clean aggregate importing existing children plus new leaf	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Source.Higham.Chapter20.Prose	NumStability/Source/Higham/Chapter20/Prose.lean	b9b0b4d30331a5d488174bb876520f2d36e4fdb1	source	declaration_bearing_umbrellas	25	umbrella_extract	NumStability.Source.Higham.Chapter20.Prose.Core.Results	owner keeps name as clean aggregate importing existing children plus new leaf	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Source.Higham.Chapter20.Theorem03	NumStability/Source/Higham/Chapter20/Theorem03.lean	a05a7712fce09eb32af4c0ba5f0b09ef5f0c8950	source	declaration_bearing_umbrellas	8	umbrella_extract	NumStability.Source.Higham.Chapter20.Theorem03.Core.Results	owner keeps name as clean aggregate importing existing children plus new leaf	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Source.Higham.Chapter20.Theorem03.QRSolve	NumStability/Source/Higham/Chapter20/Theorem03/QRSolve.lean	21a5fa03e53cfac48cd6f0abc7274b05cb2f0666	source	-	540	retain_document	-	retained with review documentation	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Source.Higham.Chapter20.Theorem04	NumStability/Source/Higham/Chapter20/Theorem04.lean	266da556f6f9bff7783dd7020462a669baa64b2e	source	declaration_bearing_umbrellas	10	umbrella_extract	NumStability.Source.Higham.Chapter20.Theorem04.Core.Results	owner keeps name as clean aggregate importing existing children plus new leaf	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Source.Higham.Chapter20.Theorem07	NumStability/Source/Higham/Chapter20/Theorem07.lean	ffc39d7c698cc5eeddf4077c2b23c0ce80da7ddf	source	declaration_bearing_umbrellas	145	umbrella_extract	NumStability.Source.Higham.Chapter20.Theorem07.Core.Results	owner keeps name as clean aggregate importing existing children plus new leaf	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Source.Higham.Chapter20.Theorem08	NumStability/Source/Higham/Chapter20/Theorem08.lean	f6f25cd2c4599e305809f9de4767d32e639ad003	source	declaration_bearing_umbrellas	32	umbrella_extract	NumStability.Source.Higham.Chapter20.Theorem08.Core.Results	owner keeps name as clean aggregate importing existing children plus new leaf	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Source.Higham.Chapter21.Corrections.Problem19_12.RoundedReplay	NumStability/Source/Higham/Chapter21/Corrections/Problem19_12/RoundedReplay.lean	361a2322d38918e8009a581dfe41021eb70e6000	source	noncanonical_modules	17	relocate_whole	NumStability.Source.Higham.Chapter21.Corrections.CorrectedMGS.RoundedReplay	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
