role	old_module	canonical_declaration_owners	compatibility_target	representative_declaration	rationale
source	NumStability.Algorithms.TestMatrices.Higham28GinibreGaussianBridge	NumStability.Source.Higham.Chapter28.RealGinibre.GaussianIncidenceExpectation	NumStability.Source.Higham.Chapter28.RealGinibre.GaussianIncidenceExpectation	ginibreCoordinatesLinearEquiv	Gaussian incidence integral as an expectation
source	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.RealGinibre.EigenpairIncidence	NumStability.Source.Higham.Chapter28.RealGinibre.EigenpairIncidence	ginibreIncidenceChart	affine real-eigenpair incidence chart
source	NumStability.Algorithms.TestMatrices.Higham28GinibreIntegral	NumStability.Source.Higham.Chapter28.RealGinibre.IncidenceIntegral	NumStability.Source.Higham.Chapter28.RealGinibre.IncidenceIntegral	lintegral_ginibreIncidence_regular_eq_rootCount	unconditional incidence integral
source	NumStability.Algorithms.TestMatrices.Higham28GinibreJointDensity	NumStability.Source.Higham.Chapter28.RealGinibre.JointDensity	NumStability.Source.Higham.Chapter28.RealGinibre.JointDensity	integral_realGinibre_prod_gaussian_eq_jointDensity	Ginibre--Gaussian joint density
source	NumStability.Algorithms.TestMatrices.Higham28GinibreMeasure	NumStability.Source.Higham.Chapter28.RealGinibre.Density	NumStability.Source.Higham.Chapter28.RealGinibre.Density	realGinibreLebesgueMeasure	Lebesgue density for the real-Ginibre law
source	NumStability.Algorithms.TestMatrices.Higham28GinibreMultiplicity	NumStability.Source.Higham.Chapter28.RealGinibre.IncidenceMultiplicity	NumStability.Source.Higham.Chapter28.RealGinibre.IncidenceMultiplicity	ginibreRegularFiberMultiplicity	incidence multiplicity and real-root count
source	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.RealGinibre.OrthogonalFiber	NumStability.Source.Higham.Chapter28.RealGinibre.OrthogonalFiber	ginibreLeadingBlock	orthogonal fiber reduction
source	NumStability.Algorithms.TestMatrices.Higham28GinibreParity	NumStability.Source.Higham.Chapter28.RealGinibre.ParityFormula	NumStability.Source.Higham.Chapter28.RealGinibre.ParityFormula	realGinibreParityIncrement	odd/even finite formulas
source	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	NumStability.Source.Higham.Chapter28.RealGinibre.InvariantPlaneChart	NumStability.Source.Higham.Chapter28.RealGinibre.InvariantPlaneChart	ginibrePlaneChart	invariant real two-plane chart
source	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneIncidence	NumStability.Source.Higham.Chapter28.RealGinibre.InvariantPlaneIncidence	NumStability.Source.Higham.Chapter28.RealGinibre.InvariantPlaneIncidence	ginibrePlaneIncidenceMatrix	invariant real two-plane incidence algebra
source	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Source.Higham.Chapter28.RealGinibre.InvariantPlaneSylvesterDeterminant	NumStability.Source.Higham.Chapter28.RealGinibre.InvariantPlaneSylvesterDeterminant	ginibrePlaneSylvesterOperator	invariant-plane Sylvester determinant
source	NumStability.Algorithms.TestMatrices.Higham28GinibreProjectiveIntegral	NumStability.Source.Higham.Chapter28.RealGinibre.ProjectiveIntegral	NumStability.Source.Higham.Chapter28.RealGinibre.ProjectiveIntegral	integral_ginibreProjectiveWeight	affine projective-chart integral
source	NumStability.Algorithms.TestMatrices.Higham28GinibreRecurrence	NumStability.Source.Higham.Chapter28.RealGinibre.Recurrence	NumStability.Source.Higham.Chapter28.RealGinibre.Recurrence	realGinibreExpectedCountClosedForm_shift_two	scalar recurrence and one-dimensional base case
source	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	NumStability.Source.Higham.Chapter28.RealGinibre.RootMeasurability	NumStability.Source.Higham.Chapter28.RealGinibre.RootMeasurability	complexRootTupleRelation	measurability of real-eigenvalue counts
source	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedConclusion	NumStability.Source.Higham.Chapter28.RealGinibre.SignedRecurrenceConclusion	NumStability.Source.Higham.Chapter28.RealGinibre.SignedRecurrenceConclusion	realGinibreFiniteExpectationFormula_of_signedPairShift	signed two-step shift conclusion
source	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	NumStability.Source.Higham.Chapter28.RealGinibre.SignedExpectation	NumStability.Source.Higham.Chapter28.RealGinibre.SignedExpectation	expectedGinibreAlternatingCount	signed count expectations
source	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedGaussian	NumStability.Source.Higham.Chapter28.RealGinibre.SignedGaussianIntegral	NumStability.Source.Higham.Chapter28.RealGinibre.SignedGaussianIntegral	ginibreOrderedGaussianSignedMoment	ordered signed Gaussian integral
source	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	NumStability.Source.Higham.Chapter28.RealGinibre.SignedIncidence	NumStability.Source.Higham.Chapter28.RealGinibre.SignedIncidence	ginibreSignedOneRootMoment	signed two-incidence transfer
source	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidenceAlgebra	NumStability.Source.Higham.Chapter28.RealGinibre.SignedIncidenceAlgebra	NumStability.Source.Higham.Chapter28.RealGinibre.SignedIncidenceAlgebra	det_ginibreIncidenceFull_sub_externalShift	algebra for the second signed incidence
source	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedKernel	NumStability.Source.Higham.Chapter28.RealGinibre.SignedKernel	NumStability.Source.Higham.Chapter28.RealGinibre.SignedKernel	ginibreOrderedGaussianKernelMoment	ordered characteristic-kernel moment
source	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank	NumStability.Source.Higham.Chapter28.RealGinibre.SignedRootRank	NumStability.Source.Higham.Chapter28.RealGinibre.SignedRootRank	ginibreAlternatingCount	signed root-rank decomposition
source	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRankTransfer	NumStability.Source.Higham.Chapter28.RealGinibre.SignedRankTransfer	NumStability.Source.Higham.Chapter28.RealGinibre.SignedRankTransfer	ginibreIncidenceRankPieceBelow	signed rank-transfer helpers
source	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedScalar	NumStability.Source.Higham.Chapter28.RealGinibre.SignedScalarIntegral	NumStability.Source.Higham.Chapter28.RealGinibre.SignedScalarIntegral	ginibreCharacteristicProductKernel	scalar identities for the signed recurrence
source	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	NumStability.Source.Higham.Chapter28.RealGinibre.TraceDensity	NumStability.Source.Higham.Chapter28.RealGinibre.TraceDensity	ginibreTraceCorrelatedDensityReal	trace-correlated determinant density
source	NumStability.Algorithms.TestMatrices.Higham28GinibreTruncatedIncidence	NumStability.Source.Higham.Chapter28.RealGinibre.TruncatedSignedIncidence	NumStability.Source.Higham.Chapter28.RealGinibre.TruncatedSignedIncidence	integral_ginibreAlternatingBelow_eq_signedIncidenceBelow	truncated signed incidence
mixed	NumStability.Algorithms.TestMatrices.Higham28Probability	NumStability.Analysis.Probability.RandomMatrices.RealGinibre;NumStability.Source.Higham.Chapter28.RealGinibre.ExpectedCountLimit;NumStability.Source.Higham.Chapter28.PositiveMatrices.AlmostSurePerron;NumStability.Source.Higham.Chapter28.Theorem01.AmbientHaarLaw	NumStability.Source.Higham.Chapter28.ProbabilityStatements	realGinibreMeasure	split reusable real-Ginibre probability foundations from three source-facing Chapter 28 adapters
mixed	NumStability.Algorithms.TestMatrices.Higham28Asymptotics	NumStability.Analysis.Asymptotics.CentralBinomial;NumStability.Source.Higham.Chapter28.AsymptoticStatements	NumStability.Source.Higham.Chapter28.Asymptotics	pascalCentralBinomial_isEquivalent	split reusable central-binomial asymptotics from the chapter's literal statement surfaces
