wave	role	old_module	proposed_canonical_module	compatibility_policy
A	source	NumStability.HDP.ContractSignatures.C_02_hprop_h2_d5_d2	NumStability.Source.Vershynin.Chapter02.Section05.Proposition02.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_02_hprop_h2_d6_d1	NumStability.Source.Vershynin.Chapter02.Section06.Proposition01.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_02_hrem_h2_d5_d3	NumStability.Source.Vershynin.Chapter02.Section05.Remark03.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_02_hrem_h2_d7_d9	NumStability.Source.Vershynin.Chapter02.Section07.Remark09.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_02_hthm_h2_d2_d6	NumStability.Source.Vershynin.Chapter02.Section02.Theorem06.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_02_hthm_h2_d6_d2	NumStability.Source.Vershynin.Chapter02.Section06.Theorem02.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_02_hthm_h2_d6_d3	NumStability.Source.Vershynin.Chapter02.Section06.Theorem03.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_02_hthm_hpsi2_hnorm_hcharacterizations	NumStability.Source.Vershynin.Chapter02.PsiTwoNormCharacterizations.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_05_hex_h5_d1_d13	NumStability.Source.Vershynin.Chapter05.Section01.Exercise13.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_05_hex_h5_d1_d14	NumStability.Source.Vershynin.Chapter05.Section01.Exercise14.Signature	retain old path as exact import-only wrapper
A	source	NumStability.HDP.ContractSignatures.C_05_hex_h5_d2_d11	NumStability.Source.Vershynin.Chapter05.Section02.Exercise11.Signature	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_01_hcor_h1_d2_d5	NumStability.Source.Vershynin.Chapter01.Section02.Corollary05.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_01_hdef_hbernoulli_hbinomial	NumStability.Source.Vershynin.Chapter01.BernoulliAndBinomial.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_01_hdef_hcdf_htail	NumStability.Source.Vershynin.Chapter01.CDFAndTail.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_01_hdef_hconvergence_hin_hdistribution	NumStability.Source.Vershynin.Chapter01.ConvergenceInDistribution.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_01_hdef_hexpectation_hvariance	NumStability.Source.Vershynin.Chapter01.ExpectationAndVariance.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_01_hdef_hl2_hgeometry	NumStability.Source.Vershynin.Chapter01.L2Geometry.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_01_hdef_hstandard_hnormal	NumStability.Source.Vershynin.Chapter01.StandardNormal.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_01_hdef_hstdev_hcovariance	NumStability.Source.Vershynin.Chapter01.StandardDeviationAndCovariance.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_01_hex_h1_d2_d2	NumStability.Source.Vershynin.Chapter01.Section02.Exercise02.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_01_hlem_h1_d2_d1	NumStability.Source.Vershynin.Chapter01.Section02.Lemma01.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_01_hprop_h1_d2_d4	NumStability.Source.Vershynin.Chapter01.Section02.Proposition04.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_01_hthm_h1_d3_d1	NumStability.Source.Vershynin.Chapter01.Section03.Theorem01.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_01_hthm_hcauchy_hschwarz	NumStability.Source.Vershynin.Chapter01.CauchySchwarz.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_01_hthm_hjensen	NumStability.Source.Vershynin.Chapter01.JensenInequality.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_02_hdef_h2_d2_d1	NumStability.Source.Vershynin.Chapter02.Section02.Definition01.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_02_hdef_h2_d5_d6	NumStability.Source.Vershynin.Chapter02.Section05.Definition06.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_02_hdef_herdos_hrenyi	NumStability.Source.Vershynin.Chapter02.ErdosRenyiModel.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_02_heq_h2_d12	NumStability.Source.Vershynin.Chapter02.Equation12.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_02_heq_h2_d18	NumStability.Source.Vershynin.Chapter02.Equation18.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_02_hex_h2_d2_d10b	NumStability.Source.Vershynin.Chapter02.Section02.Exercise10B.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_02_hex_h2_d3_d5	NumStability.Source.Vershynin.Chapter02.Section03.Exercise05.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_02_hex_h2_d5_d1	NumStability.Source.Vershynin.Chapter02.Section05.Exercise01.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_02_hexample_h2_d5_d8b	NumStability.Source.Vershynin.Chapter02.Section05.Example08B.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_02_hexample_h2_d5_d8c	NumStability.Source.Vershynin.Chapter02.Section05.Example08C.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_02_hexample_h2_d7_d12	NumStability.Source.Vershynin.Chapter02.Section07.Example12.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_02_hexample_h2_d7_d13	NumStability.Source.Vershynin.Chapter02.Section07.Example13.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_02_hlem_h2_d6_d8	NumStability.Source.Vershynin.Chapter02.Section06.Lemma08.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_02_hlem_hexponential_hmarkov	NumStability.Source.Vershynin.Chapter02.ExponentialMarkov.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_02_hlem_hmgf_hindependent_hsum	NumStability.Source.Vershynin.Chapter02.IndependentSumMGF.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_02_hprop_h2_d5_d2	NumStability.Source.Vershynin.Chapter02.Section05.Proposition02.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_02_hprop_h2_d6_d1	NumStability.Source.Vershynin.Chapter02.Section06.Proposition01.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_02_hrem_h2_d5_d3	NumStability.Source.Vershynin.Chapter02.Section05.Remark03.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_02_hthm_h2_d2_d6	NumStability.Source.Vershynin.Chapter02.Section02.Theorem06.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_02_hthm_h2_d6_d2	NumStability.Source.Vershynin.Chapter02.Section06.Theorem02.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_02_hthm_h2_d6_d3	NumStability.Source.Vershynin.Chapter02.Section06.Theorem03.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_02_hthm_hpsi2_hnorm_hcharacterizations	NumStability.Source.Vershynin.Chapter02.PsiTwoNormCharacterizations.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_05_hex_h5_d1_d13	NumStability.Source.Vershynin.Chapter05.Section01.Exercise13.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_05_hex_h5_d1_d14	NumStability.Source.Vershynin.Chapter05.Section01.Exercise14.Contract	retain old path as exact import-only wrapper
B	source	NumStability.HDP.Contracts.C_05_hex_h5_d2_d11	NumStability.Source.Vershynin.Chapter05.Section02.Exercise11.Contract	retain old path as exact import-only wrapper
