reviewed_composition	historical_owner	loc	compiler_declarations	public_declarations	private_reverse_closure	canonical_reusable_destinations	canonical_source_destinations	direct_dependencies	external_consumers	migration_action	representative_declaration	exclusions
import_shim	NumStability.Algorithms.Sylvester.Higham16PerturbationSigmaMin	10	0	0	0	NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.SigmaMinBounds.SylvesterPerturbation;NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.SingularValue	NumStability.Source.Higham.Chapter16.Section04.PracticalErrorBounds.SchurTransformClosure;NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.SigmaMinCorollaries.SylvesterPerturbation	current imports with Higham16 replaced by its source destination	four Chapter16 source leaves;Higham16VecNorm;historical aggregate	rewrite exact canonical/source target set;remain declaration-free	n/a	same wave exclusions
import_shim	NumStability.Algorithms.Sylvester.Higham16PivotedSmallBlocks	10	0	0	0	NumStability.Algorithms.LU.GaussianElimination;NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.PivotedSmallBlocks.CompletePivot;NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.QuasiTriangularBartelsStewart.QuasiQuasiSolve;NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.QuasiTriangularBartelsStewart.SmallSystemRounding	NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.RoundedSylvesterCompletion;NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.QuasiQuasiSylvester;NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.PivotedSmallBlocks	current imports with QuasiQuasiSylvester route expanded	historical aggregate	rewrite exact canonical/source target set;remain declaration-free	n/a	same wave exclusions
source_atomic_closure	NumStability.Algorithms.Sylvester.Higham16Problem16_2	846	34	21	13	-	NumStability.Source.Higham.Chapter16.Problem02.LyapunovIntegral.SemigroupCompletion	Mathlib C-star/Hermitian/exponential/integral leaves;existing Chapter16 Problem02 results	historical aggregate	move private plus ambient-instance-pinned Problem16.2 closure as one source unit;exact declaration-free wrapper	higham16_problem16_2_integral_isUnique_of_hurwitz	same wave exclusions
import_shim	NumStability.Algorithms.Sylvester.Higham16Psi	12	0	0	0	NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.StructuredSylvester;NumStability.Algorithms.MatrixEquations.Sylvester.Equation.Diagonal;NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.FirstOrder;NumStability.Algorithms.MatrixEquations.Sylvester.Perturbation.Basic	NumStability.Source.Higham.Chapter16.Section04.PracticalErrorBounds.SchurTransformClosure;NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.Equation22;NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.Equation23;NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.Equation24	current imports with Higham16 and SylvesterPerturbation expanded	NumStability.Analysis.InverseOpNorm2;historical aggregate	rewrite exact canonical/source target set;remain declaration-free	n/a	same wave exclusions
import_shim	NumStability.Algorithms.Sylvester.Higham16PsiSigmaMin	9	0	0	0	NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.SigmaMinBounds.StructuredSylvester;NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.SingularValue	NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.SigmaMinCorollaries.StructuredSylvester	current three semantic imports	Higham16VecNorm;historical aggregate	retain exact declaration-free semantic route	n/a	same wave exclusions
import_shim	NumStability.Algorithms.Sylvester.Higham16QuasiQuasiRounded	8	0	0	0	NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.QuasiTriangularBartelsStewart.SmallSystemRounding	NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.RoundedSylvesterCompletion	current imports with QuasiRoundedSylvester replaced by its source destination	Higham16QuasiQuasiSylvester;historical aggregate	rewrite exact canonical/source target set;remain declaration-free	n/a	same wave exclusions
import_shim	NumStability.Algorithms.Sylvester.Higham16QuasiQuasiSylvester	9	0	0	0	NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.QuasiTriangularBartelsStewart.QuasiQuasiSolve;NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.QuasiTriangularBartelsStewart.SmallSystemRounding	NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.RoundedSylvesterCompletion;NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.QuasiQuasiSylvester	current imports with QuasiQuasiRounded expanded	Higham16PivotedSmallBlocks;Higham16RoundedExecutor;historical aggregate	rewrite exact canonical/source target set;remain declaration-free	n/a	same wave exclusions
reusable_atomic_closure	NumStability.Algorithms.Sylvester.Higham16QuasiRoundedSolve	2075	7	6	1	NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.QuasiTriangularBartelsStewart.RoundedBlockBackSubstitution	-	QuasiTriangularSolve;TriangularBartelsStewart.RoundedSolve;LinearSystems.Triangular.BackSubstitution	two Chapter11 source consumers;Higham16QuasiRoundedSylvester;historical aggregate	move generic rounded 2x2/block-back-substitution private closure to reusable semantic owner;exact declaration-free wrapper	flQuasiBlockBackSub_backward_error	same wave exclusions
source_atomic_closure	NumStability.Algorithms.Sylvester.Higham16QuasiRoundedSylvester	893	16	16	0	-	NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.RoundedSylvesterCompletion	new reusable RoundedBlockBackSubstitution;existing QuasiTriangularSylvester and Chapter16 QuasiRoundedSylvester endpoints	historical family leaves;historical aggregate	move printed equations04-08 Sylvester residual closure to source;exact declaration-free wrapper	sylvesterVecCoeff_quasiTriangular_blockBackSub_backward_error	same wave exclusions
import_shim	NumStability.Algorithms.Sylvester.Higham16RoundedExecutor	11	0	0	0	NumStability.Algorithms.MatMul;NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.QuasiTriangularBartelsStewart.Executor;NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.TriangularBartelsStewart.EndToEnd;NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.TriangularBartelsStewart.ResidualAssembly;NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.QuasiTriangularBartelsStewart.QuasiQuasiSolve;NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.QuasiTriangularBartelsStewart.SmallSystemRounding	NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equation09.Assembly;NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equation09.EndToEnd;NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.RoundedSylvesterCompletion;NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.QuasiQuasiSylvester;NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.RoundedExecutor	current imports with Eq9EndToEnd and QuasiQuasiSylvester expanded	historical aggregate	rewrite exact canonical/source target set;remain declaration-free	n/a	same wave exclusions
import_shim	NumStability.Algorithms.Sylvester.Higham16RoundedTriangular	13	0	0	0	NumStability.Algorithms.LinearSystems.Triangular.BackSubstitution;NumStability.Algorithms.MatrixEquations.Sylvester.Solvers.TriangularBartelsStewart.RoundedSolve	NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.SpectralCompletion;NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.RoundedTriangular	current imports with Higham16Spectrum replaced by its source destination	Higham16Eq9EndToEnd;historical aggregate	rewrite exact canonical/source target set;remain declaration-free	n/a	same wave exclusions
source_atomic_closure	NumStability.Algorithms.Sylvester.Higham16Spectrum	18514	305	299	6	-	NumStability.Source.Higham.Chapter16.Section02.BartelsStewart.Equations04To08.SpectralCompletion	ComplexSchur spectral solvability;quasi-triangular block traversal;Higham16 source closure;real/complex Schur analysis;Chapter16 spectrum endpoints	Higham16HessenbergSchur;Higham16RoundedTriangular;Higham16SpectrumMinimizers;Higham16VecNorm;one Chapter16 source leaf;historical aggregate	move the private spectral/block-traversal reverse closure as one Chapter16 source unit;exact declaration-free wrapper	complexSylvesterVecCoeff_det_ne_zero_iff_no_common_complex_right_eigenvalue	same wave exclusions
source_atomic_closure	NumStability.Algorithms.Sylvester.Higham16SpectrumMinimizers	634	16	16	0	-	NumStability.Source.Higham.Chapter16.Section04.PracticalErrorBounds.Equation29Extensions.SpectralMinimizers	new AttainedMinimizerCompletion and SpectralCompletion source owners	historical aggregate	move paired generic/H16 Equation29 Schur-minimizer endpoints to source;exact declaration-free wrapper	sylvester_practical_error_bound_fl_of_schurTriangular	same wave exclusions
source_atomic_closure	NumStability.Algorithms.Sylvester.Higham16VecNorm	10072	48	48	0	-	NumStability.Source.Higham.Chapter16.Section04.PracticalErrorBounds.Equation29Extensions.VectorizedCompletion	SigmaMinBounds.Vectorized;ComplexSchur.VectorizedSolvability;Higham16 and Spectrum source closures;three sigma-min semantic routes;Chapter16 vectorized endpoints	AutoCondition;HessenbergSchur;Minimizers;one Chapter16 source leaf;historical aggregate	move source-coupled vectorized solvability and norm closure to Chapter16 endpoint;exact declaration-free wrapper	existsUnique_isSylvesterSolutionRect_of_no_common_complex_right_eigenvalue	same wave exclusions
source_atomic_closure	NumStability.Algorithms.Sylvester.Higham16VecPermutationNotes	100	3	2	1	-	NumStability.Source.Higham.Chapter16.Section01.SylvesterEquation.VectorizationNotes.PermutationIdentity	Algorithms.MatrixEquations.Sylvester.Equation.Vectorization and KroneckerPermutation;existing Chapter16 vectorization notes	historical aggregate	move private sum helper plus printed permutation identity to source;exact declaration-free wrapper	higham16_kronecker_mul_vecTransposePermutation	same wave exclusions
import_shim	NumStability.Algorithms.Sylvester.SylvesterBackward	24	0	0	0	NumStability.Algorithms.MatrixEquations.Sylvester.BackwardError.LyapunovSpectral;NumStability.Algorithms.MatrixEquations.Sylvester.BackwardError.SylvesterSVD;NumStability.Algorithms.MatrixEquations.Sylvester.BackwardError.Specification;NumStability.Algorithms.MatrixEquations.Sylvester.Equation.Basic;NumStability.Algorithms.MatrixEquations.Sylvester.Equation.Lyapunov;NumStability.Analysis.MatrixAlgebra	NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation10;NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation11;NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation12;NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation13;NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation15;NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation16;NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation18;NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation19;NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation21;NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.LyapunovDefinition	current imports with SylvesterSpec expanded	Higham16 source closure;historical aggregate	rewrite exact W05 canonical/source target set;remain declaration-free	n/a	same wave exclusions
import_shim	NumStability.Algorithms.Sylvester.SylvesterPerturbation	23	0	0	0	NumStability.Algorithms.MatrixEquations.Sylvester.Conditioning.FirstOrder;NumStability.Algorithms.MatrixEquations.Sylvester.Perturbation.Basic;NumStability.Algorithms.MatrixEquations.Sylvester.BackwardError.Specification;NumStability.Algorithms.MatrixEquations.Sylvester.Equation.Basic;NumStability.Algorithms.MatrixEquations.Sylvester.Equation.Lyapunov;NumStability.Analysis.MatrixAlgebra	NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation10;NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation11;NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation12;NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation21;NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.LyapunovDefinition;NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.Equation22;NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.Equation23;NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.Equation24;NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.Equation25;NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.Equation27	current imports with SylvesterSpec expanded	Higham16/Psi/Lyapunov routes;historical aggregate	rewrite exact W05 canonical/source target set;remain declaration-free	n/a	same wave exclusions
import_shim	NumStability.Algorithms.Sylvester.SylvesterSpec	23	0	0	0	NumStability.Algorithms.MatrixEquations.Sylvester.BackwardError.Specification;NumStability.Algorithms.MatrixEquations.Sylvester.Equation.Basic;NumStability.Algorithms.MatrixEquations.Sylvester.Equation.Lyapunov;NumStability.Analysis.MatrixAlgebra	NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation10;NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation11;NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation12;NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.Equation21;NumStability.Source.Higham.Chapter16.Section02.SylvesterAndLyapunovBackwardError.LyapunovDefinition	current W05 semantic imports	Backward and Perturbation wrappers;historical aggregate	retain exact declaration-free W05 route	n/a	same wave exclusions
