declaration	historical_owner	destination_module	code	tier	disposition
NumStability.IsNormalizedOrthogonalHaarLaw	NumStability.Algorithms.TestMatrices.Higham28Probability	NumStability.Algorithms.TestMatrices.Higham28Probability	S_GIN_PROB	source	retained
NumStability.IsSignCompletion	NumStability.Algorithms.TestMatrices.Higham28PascalOscillation	NumStability.Analysis.TestMatrices.Pascal.PascalOscillation	R_PASCAL	reusable	relocated
NumStability.IsStrictlyTotallyPositive	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.IsTotallyNonnegative	NumStability.Algorithms.TestMatrices.Higham28PascalTotalPositivity	NumStability.Analysis.TestMatrices.Pascal.PascalTotalPositivity	R_PASCAL	reusable	relocated
NumStability.LinearMap.det_lowerBlock	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.LinearMap.det_lowerBlockDiagonal	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.LinearMap.lowerBlock	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.LinearMap.lowerBlockDiagonal	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.LinearMap.lowerBlockDiagonal_apply	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.LinearMap.lowerBlock_apply	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.Matrix.IsSimilar.rank_eq	NumStability.Algorithms.TestMatrices.Higham28Companion	NumStability.Analysis.TestMatrices.Companion.Companion	R_COMPANION	reusable	relocated
NumStability.Matrix.IsSimilar.rank_sub_scalar_eq	NumStability.Algorithms.TestMatrices.Higham28Companion	NumStability.Analysis.TestMatrices.Companion.Companion	R_COMPANION	reusable	relocated
NumStability.Matrix.reindex_mulVec_comp_symm	NumStability.Algorithms.TestMatrices.Higham28GinibreAtlas	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreAtlas	S_GIN_PLANES	source	relocated
NumStability.OrthogonalFixesFirstRow	NumStability.Algorithms.TestMatrices.Higham28OrthogonalFibers	NumStability.Analysis.TestMatrices.Orthogonal.OrthogonalFibers	R_ORTHOGONAL	reusable	relocated
NumStability.OrthogonalSphere	NumStability.Algorithms.TestMatrices.Higham28OrthogonalSphere	NumStability.Analysis.TestMatrices.Orthogonal.OrthogonalSphere	R_ORTHOGONAL	reusable	relocated
NumStability.PascalConditionAsymptotic	NumStability.Algorithms.TestMatrices.Higham28Asymptotics	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Asymptotics.Asymptotics	S_GIN_ASYM	source	relocated
NumStability.Polynomial.negOnePow_card_roots_lt_mul_abs_eval	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRank	S_GIN_SIGNED	source	retained
NumStability.RealGinibreExpectedCountLimit	NumStability.Algorithms.TestMatrices.Higham28Probability	NumStability.Algorithms.TestMatrices.Higham28Probability	S_GIN_PROB	source	retained
NumStability.RealGinibreFiniteExpectationFormula	NumStability.Algorithms.TestMatrices.Higham28Ginibre	NumStability.Algorithms.TestMatrices.Higham28Ginibre	S_GIN_FINEXP	source	retained
NumStability.RealOrthogonalGroup	NumStability.Algorithms.TestMatrices.Higham28OrthogonalHaar	NumStability.Analysis.TestMatrices.Orthogonal.OrthogonalHaar	R_ORTHOGONAL	reusable	relocated
NumStability.SecondDifferenceConditionAsymptotic	NumStability.Algorithms.TestMatrices.Higham28Asymptotics	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Asymptotics.Asymptotics	S_GIN_ASYM	source	relocated
NumStability.ShiftedHilbertNormAsymptotic	NumStability.Algorithms.TestMatrices.Higham28Asymptotics	NumStability.Analysis.TestMatrices.Hilbert.Asymptotics	R_HILBERT	reusable	relocated
NumStability.StewartGaussianInputs	NumStability.Algorithms.TestMatrices.Higham28Stewart	NumStability.Analysis.TestMatrices.RandomSVD.Stewart	R_RANDOMSVD	reusable	relocated
NumStability.StewartRandsvdInputs	NumStability.Algorithms.TestMatrices.Higham28Stewart	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.Stewart	S_S03_STEWART	source	relocated
NumStability.StewartTheorem28_1HaarConclusion	NumStability.Algorithms.TestMatrices.Higham28Stewart	NumStability.Algorithms.TestMatrices.Higham28Stewart	S_S03_STEWART	source	retained
NumStability.UniformPositivePerronAlmostSure	NumStability.Algorithms.TestMatrices.Higham28Probability	NumStability.Algorithms.TestMatrices.Higham28Probability	S_PERRON	source	retained
NumStability.abs_det_eq_one_of_isOrthogonal	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.abs_det_fderiv_ginibreIncidenceChart	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.abs_det_ginibreIncidenceDeflatedBlock_orthogonalBlock	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.abs_det_ginibreLeadingBlock_eq_abs_lastEntry	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.abs_det_ginibreOrthogonalBlockToNuisanceLinearMap	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.abs_det_ginibreOrthogonalBlockToNuisanceLinearMap_eq_projectiveWeight	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.abs_det_sub_smul_one_eq_abs_charpoly_eval	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.abs_det_two_eq_normalForm_rotation	NumStability.Algorithms.TestMatrices.Higham28GinibreAbsoluteDetRecurrence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.GinibreAbsoluteDetRecurrence	S_GIN_FINEXP	source	relocated
NumStability.abs_ginibreAlternatingCount_le	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.GinibreSignedExpectation	S_GIN_FINEXP	source	relocated
NumStability.abs_ginibreAlternatingPairCount_le_sq	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedExpectation	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.GinibreSignedExpectation	S_GIN_FINEXP	source	relocated
NumStability.abs_ginibreHypergeometricTerm_succ_le	NumStability.Algorithms.TestMatrices.Higham28Ginibre	NumStability.Algorithms.TestMatrices.Higham28Ginibre	S_GIN_FINEXP	source	retained
NumStability.abs_ginibreHypergeometricTerm_succ_le_half	NumStability.Algorithms.TestMatrices.Higham28Ginibre	NumStability.Algorithms.TestMatrices.Higham28Ginibre	S_GIN_FINEXP	source	retained
NumStability.abs_ginibreIncidenceDerivativeLinearMap_det	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.abs_householderAlpha_eq_euclideanNorm	NumStability.Algorithms.TestMatrices.Higham28OrthogonalFibers	NumStability.Analysis.TestMatrices.Orthogonal.OrthogonalFibers	R_ORTHOGONAL	reusable	relocated
NumStability.abs_matrix_entry_le_opNorm2	NumStability.Algorithms.TestMatrices.Higham28PascalCondition	NumStability.Source.Higham.Chapter28.Section04.Pascal.PascalCondition	S_S04_PASCAL	source	relocated
NumStability.abs_opNorm2_shiftedHilbert_sub_pi_le	NumStability.Algorithms.TestMatrices.Higham28ShiftedHilbert	NumStability.Analysis.TestMatrices.Hilbert.ShiftedHilbert	R_HILBERT	reusable	relocated
NumStability.abs_realGinibre_hypergeometric_sub_one_le	NumStability.Algorithms.TestMatrices.Higham28Ginibre	NumStability.Algorithms.TestMatrices.Higham28Ginibre	S_GIN_FINEXP	source	retained
NumStability.adjugate_eq_det_smul_transpose_of_isOrthogonal	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.ae_ginibreRegularFiberMultiplicity_eq_realEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreIntegral	NumStability.Algorithms.TestMatrices.Higham28GinibreIntegral	S_GIN_PROJ	source	retained
NumStability.ae_linearIndependent_standardGaussianColumns	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	S_S03_STEWART	source	retained
NumStability.ae_linearIndependent_standardGaussianColumns_aux	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	S_S03_STEWART	source	retained
NumStability.aestronglyMeasurable_realEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	S_GIN_ROOT	source	retained
NumStability.altChooseShift	NumStability.Algorithms.TestMatrices.Higham28	NumStability.Analysis.TestMatrices.Hilbert.Basic	R_HILBERT	reusable	relocated
NumStability.altChooseShift_eq	NumStability.Algorithms.TestMatrices.Higham28	NumStability.Analysis.TestMatrices.Hilbert.Basic	R_HILBERT	reusable	relocated
NumStability.altChooseShift_pred_eq_zero	NumStability.Algorithms.TestMatrices.Higham28	NumStability.Analysis.TestMatrices.Hilbert.Basic	R_HILBERT	reusable	relocated
NumStability.altChooseShift_succ_recurrence	NumStability.Algorithms.TestMatrices.Higham28	NumStability.Analysis.TestMatrices.Hilbert.Basic	R_HILBERT	reusable	relocated
NumStability.analyticSet_complexRootTupleBelowCountProjection	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	S_GIN_ROOT	source	retained
NumStability.analyticSet_complexRootTupleCountProjection	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	S_GIN_ROOT	source	retained
NumStability.arctan_le_self_of_nonneg	NumStability.Algorithms.TestMatrices.Higham28ShiftedHilbert	NumStability.Analysis.TestMatrices.Hilbert.ShiftedHilbert	R_HILBERT	reusable	relocated
NumStability.arithmeticSingularValues	NumStability.Algorithms.TestMatrices.Higham28	NumStability.Analysis.TestMatrices.Hilbert.Basic	R_HILBERT	reusable	relocated
NumStability.boolSignChangeCount	NumStability.Algorithms.TestMatrices.Higham28PascalOscillation	NumStability.Analysis.TestMatrices.Pascal.PascalOscillation	R_PASCAL	reusable	relocated
NumStability.boolSignChangeCount_extract	NumStability.Algorithms.TestMatrices.Higham28PascalOscillationCore	NumStability.Analysis.TestMatrices.Pascal.PascalOscillationCore	R_PASCAL	reusable	relocated
NumStability.boolSignChangeCount_not	NumStability.Algorithms.TestMatrices.Higham28PascalOscillationCore	NumStability.Analysis.TestMatrices.Pascal.PascalOscillationCore	R_PASCAL	reusable	relocated
NumStability.card_filter_im_eq_zero_complexMatrixCharpoly	NumStability.Algorithms.TestMatrices.Higham28GinibreComplexPairs	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreComplexPairs	S_GIN_PLANES	source	relocated
NumStability.card_filter_lt_card_filter_of_mem	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	NumStability.Algorithms.TestMatrices.Higham28GinibreRoots	S_GIN_ROOT	source	retained
NumStability.card_ginibrePermutationsFixing	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.GinibreCharacteristicProduct	S_GIN_FINEXP	source	relocated
NumStability.cast_choose_mul_factorial_sub_eq_factorial_div	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.GinibreCharacteristicProduct	S_GIN_FINEXP	source	relocated
NumStability.cast_choose_mul_factorial_sub_eq_factorial_div_complex	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.GinibreCharacteristicProduct	S_GIN_FINEXP	source	relocated
NumStability.cauchyAdmissible_of_strictMono_of_pos	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.cauchyAdmissible_tail	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyChoPotential	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyChoPotential_at_dim	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyChoPotential_eq_Iio	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyChoPotential_sub_succ	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyChoPotential_succ	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyChoPotential_zero	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyChoTerm	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyChoTerm_zero_of_col_lt	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyChoTerm_zero_of_row_lt	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyDetDenominator	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.cauchyDetDenominator_ne_zero	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.cauchyDetDenominator_succ	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyDetFormula	NumStability.Algorithms.TestMatrices.Higham28	NumStability.Analysis.TestMatrices.Cauchy.Basic	R_CAUCHY	reusable	relocated
NumStability.cauchyDetFormula_eq_num_div_den	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.cauchyDetFormula_ne_zero	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.cauchyDetFormula_pos_of_strictMono_of_pos	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.cauchyDetFormula_succ	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyDetNumerator	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.cauchyDetNumerator_ne_zero	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.cauchyDetNumerator_succ	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyInverseDenominator	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.cauchyInverseDenominator_ne_zero	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.cauchyInverseEntry	NumStability.Algorithms.TestMatrices.Higham28	NumStability.Analysis.TestMatrices.Cauchy.Basic	R_CAUCHY	reusable	relocated
NumStability.cauchyInverseEntry_eq_lagrange	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyInverseEntry_eq_num_div_den	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.cauchyInverseEntry_ne_zero	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.cauchyInverseFormula	NumStability.Algorithms.TestMatrices.Higham28	NumStability.Analysis.TestMatrices.Cauchy.Basic	R_CAUCHY	reusable	relocated
NumStability.cauchyInverseFormula_mulVec_one	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyInverseFormula_mul_cauchyMatrix	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyInverseInterpolationPoly	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyInverseInterpolationPoly_degree_lt	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyInverseInterpolationPoly_eval	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyInverseInterpolationPoly_eval_at_node	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyInverseNumerator	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.cauchyInverseNumerator_ne_zero	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.cauchyInverseOnesEntry	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyInverseOnes_residue_sum	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyLower	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.cauchyLowerEntry	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.cauchyLower_diagonal	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.cauchyLower_entry_of_lt	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.cauchyLower_mul_cauchyUpper	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Source.Higham.Chapter28.Section01.Cauchy.Cauchy	S_S01_CAUCHY	source	relocated
NumStability.cauchyLower_mul_cauchyUpper_term	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyLower_mul_cauchyUpper_term_diagonal	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyLower_mul_cauchyUpper_term_of_lt	NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability.Analysis.TestMatrices.Cauchy.Cauchy	R_CAUCHY	reusable	relocated
NumStability.cauchyLower_zero_of_lt	NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability.Analysis.TestMatrices.Cauchy.Contracts	R_CAUCHY	reusable	relocated
NumStability.cauchyMatrix	NumStability.Algorithms.TestMatrices.Higham28	NumStability.Analysis.TestMatrices.Cauchy.Basic	R_CAUCHY	reusable	relocated
