declaration	kind	visibility	historical_owner	destination_module	tier	disposition	command_root	start_line
NumStability.componentwise_forward_bound	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation06.ComponentwiseForward.Results	source	relocated	NumStability.componentwise_forward_bound	1836
NumStability.computedIteration_of_sourceComputedIteration	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation01.ComputedIteration.Results	source	relocated	NumStability.computedIteration_of_sourceComputedIteration	591
NumStability.conjugate_matMul	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	unclassified-review	retained_classify_only	NumStability.conjugate_matMul	162
NumStability.conjugated_bottomProjector_eq_semiconvergentE	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.conjugated_bottomProjector_eq_semiconvergentE	332
NumStability.diagMatrix_mul_diagMatrix_eq_id	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Splittings.Scaling.Diagonal	reusable	relocated	NumStability.diagMatrix_mul_diagMatrix_eq_id	58
NumStability.diagonalResidualRatioMax	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation20.ResidualSigma.Results	source	relocated	NumStability.diagonalResidualRatioMax	2459
NumStability.diagonalResidualRatioMax_nonneg	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation20.ResidualSigma.Results	source	relocated	NumStability.diagonalResidualRatioMax_nonneg	2476
NumStability.diagonalResidualRatio_le_max	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation20.ResidualSigma.Results	source	relocated	NumStability.diagonalResidualRatio_le_max	2468
NumStability.drazinIG	definition	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.drazinIG	245
NumStability.drazinIG_mul_matSub_id_G_eq_semiconvergentE	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.drazinIG_mul_matSub_id_G_eq_semiconvergentE	391
NumStability.drazinIG_spec	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.drazinIG_spec	284
NumStability.dualIterMatrix	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Splittings.Core.Definitions	reusable	relocated	NumStability.dualIterMatrix	39
NumStability.eq_17_23_block	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.eq_17_23_block	190
NumStability.eq_17_25_limit	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.eq_17_25_limit	426
NumStability.eq_17_26_stationary_limit	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.eq_17_26_stationary_limit	469
NumStability.eq_17_30_block	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.eq_17_30_block	637
NumStability.eq_17_30_pow	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.eq_17_30_pow	651
NumStability.eq_17_31_normwise_bound	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_private_closure	NumStability.eq_17_31_normwise_bound	884
NumStability.eq_17_32_componentwise_bound	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_private_closure	NumStability.eq_17_32_componentwise_bound	1344
NumStability.eq_conjugate_of_similarity	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	unclassified-review	retained_classify_only	NumStability.eq_conjugate_of_similarity	145
NumStability.finiteForwardCorrection	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation13.ComponentwiseForward.Results	source	relocated	NumStability.finiteForwardCorrection	3190
NumStability.finiteForwardCorrection_le_mainForwardBoundVector	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation13.ComponentwiseForward.Results	source	relocated	NumStability.finiteForwardCorrection_le_mainForwardBoundVector	3243
NumStability.finiteForwardCorrection_nonneg	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation13.ComponentwiseForward.Results	source	relocated	NumStability.finiteForwardCorrection_nonneg	3221
NumStability.finiteForwardCorrection_norm_bound	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation13.ComponentwiseForward.Results	source	relocated	NumStability.finiteForwardCorrection_norm_bound	3255
NumStability.finiteResidualSigma	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation20.ResidualSigma.Results	source	relocated	NumStability.finiteResidualSigma	2373
NumStability.finiteResidualSigmaMatrix	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation20.ResidualSigma.Results	source	relocated	NumStability.finiteResidualSigmaMatrix	2364
NumStability.finiteResidualSigma_le_diagonalizable_bound	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	historical-closure	retained_private_closure	NumStability.finiteResidualSigma_le_diagonalizable_bound	2572
NumStability.finiteResidualSigma_le_diagonalizable_max_bound	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.StationaryIteration	historical-closure	retained_private_closure	NumStability.finiteResidualSigma_le_diagonalizable_max_bound	2669
NumStability.finite_norm_form_forward_bound	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation15.NormwiseForward.Results	source	relocated	NumStability.finite_norm_form_forward_bound	3292
NumStability.finite_norm_form_gaussSeidel_forward_bound	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation17.SOR.Results	source	relocated	NumStability.finite_norm_form_gaussSeidel_forward_bound	3529
NumStability.finite_norm_form_jacobi_forward_bound	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation16.Jacobi.Results	source	relocated	NumStability.finite_norm_form_jacobi_forward_bound	3355
NumStability.finite_norm_form_sor_forward_bound	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation17.SOR.Results	source	relocated	NumStability.finite_norm_form_sor_forward_bound	3491
NumStability.flStationaryIterationLower	definition	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	unclassified-review	retained_classify_only	NumStability.flStationaryIterationLower	210
NumStability.flStationaryIterationLower_actual_forward_bound	theorem	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	unclassified-review	retained_classify_only	NumStability.flStationaryIterationLower_actual_forward_bound	503
NumStability.flStationaryIterationLower_localErrorBound	theorem	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	unclassified-review	retained_classify_only	NumStability.flStationaryIterationLower_localErrorBound	262
NumStability.flStationaryIterationLower_solveCertificate	theorem	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	unclassified-review	retained_classify_only	NumStability.flStationaryIterationLower_solveCertificate	230
NumStability.flStationaryIterationUpper	definition	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	unclassified-review	retained_classify_only	NumStability.flStationaryIterationUpper	220
NumStability.flStationaryIterationUpper_actual_forward_bound	theorem	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	unclassified-review	retained_classify_only	NumStability.flStationaryIterationUpper_actual_forward_bound	536
NumStability.flStationaryIterationUpper_localErrorBound	theorem	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	unclassified-review	retained_classify_only	NumStability.flStationaryIterationUpper_localErrorBound	277
NumStability.flStationaryIterationUpper_solveCertificate	theorem	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	unclassified-review	retained_classify_only	NumStability.flStationaryIterationUpper_solveCertificate	246
NumStability.hasSum_GiE_entry_drazinIG	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.hasSum_GiE_entry_drazinIG	1216
NumStability.indexOneDrazinInverse_eq_drazinIG	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.indexOneDrazinInverse_eq_drazinIG	1654
NumStability.indexOneDrazinInverse_unique	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.indexOneDrazinInverse_unique	1601
NumStability.infNorm_GiE_Minv_le	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.infNorm_GiE_Minv_le	768
NumStability.infNorm_matPow_J_bottomProjector_le	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.infNorm_matPow_J_bottomProjector_le	730
NumStability.iterMatrix	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Splittings.Core.Definitions	reusable	relocated	NumStability.iterMatrix	35
NumStability.jacobiForwardBoundVector	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation16.Jacobi.Results	source	relocated	NumStability.jacobiForwardBoundVector	3331
NumStability.jacobiForwardBoundVector_nonneg	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation16.Jacobi.Results	source	relocated	NumStability.jacobiForwardBoundVector_nonneg	3388
NumStability.jacobi_splitting_abs	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation16.Jacobi.Results	source	relocated	NumStability.jacobi_splitting_abs	2233
NumStability.localErrorBound_of_roundedStationarySolveCertificate	theorem	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	unclassified-review	retained_classify_only	NumStability.localErrorBound_of_roundedStationarySolveCertificate	125
NumStability.local_error_normwise_simplified	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation10.LocalErrorSimplification.Results	source	relocated	NumStability.local_error_normwise_simplified	2034
NumStability.local_error_simplified	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation10.LocalErrorSimplification.Results	source	relocated	NumStability.local_error_simplified	1984
NumStability.mainForwardBoundVector	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation13.ComponentwiseForward.Results	source	relocated	NumStability.mainForwardBoundVector	3200
NumStability.mainForwardBoundVector_eq_jacobiForwardBoundVector	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation16.Jacobi.Results	source	relocated	NumStability.mainForwardBoundVector_eq_jacobiForwardBoundVector	3337
NumStability.mainForwardBoundVector_le_sorForwardBoundVector	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation17.SOR.Results	source	relocated	NumStability.mainForwardBoundVector_le_sorForwardBoundVector	3402
NumStability.mainForwardBoundVector_nonneg	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation13.ComponentwiseForward.Results	source	relocated	NumStability.mainForwardBoundVector_nonneg	3208
NumStability.mainForwardBoundVector_norm_le_sorForwardBoundVector	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation17.SOR.Results	source	relocated	NumStability.mainForwardBoundVector_norm_le_sorForwardBoundVector	3452
NumStability.main_forward_bound	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation13.ComponentwiseForward.Results	source	relocated	NumStability.main_forward_bound	3155
NumStability.matMulVec_add_complement_apply	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.ErrorAnalysis.Forward.ComplementDecomposition	reusable	relocated	NumStability.matMulVec_add_complement_apply	917
NumStability.matMulVec_finset_sum_right	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Recurrences.Affine.Unrolling	reusable	relocated	NumStability.matMulVec_finset_sum_right	451
NumStability.matMulVec_neumannSum_range	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation21.SingularIteration.Results	source	relocated	NumStability.matMulVec_neumannSum_range	694
NumStability.matMul_G_X_eq_X_blockJ	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	unclassified-review	retained_classify_only	NumStability.matMul_G_X_eq_X_blockJ	159
NumStability.matMul_bottomProjector_left	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.matMul_bottomProjector_left	118
NumStability.matMul_bottomProjector_right	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.matMul_bottomProjector_right	92
NumStability.matMul_matSub_id_apply	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.matMul_matSub_id_apply	166
NumStability.matMul_row_id	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	unclassified-review	retained_classify_only	NumStability.matMul_row_id	56
NumStability.matMul_row_zero	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	unclassified-review	retained_classify_only	NumStability.matMul_row_zero	68
NumStability.matPow_G_tendsto_limit_drazin	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.matPow_G_tendsto_limit_drazin	440
