module	role	import	provenance
NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.FinalDivisionFamilyClosure	frozen-B0009
NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Corollary07.FinalizedRunFamilies.ResidualAndForwardEnvelopes	frozen-B0009
NumStability.Algorithms.Ch14Cor147SourceDomainConstructor	compatibility-shim	NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	frozen-B0009
NumStability.Algorithms.Ch14Cor147SourceDomainConstructor	compatibility-shim	NumStability.Algorithms.LinearSystems.Cholesky.Perturbation.Basic	frozen-B0009
NumStability.Algorithms.Ch14Cor147SourceDomainConstructor	compatibility-shim	NumStability.Source.Higham.Chapter09.Theorem99Closure	frozen-B0009
NumStability.Algorithms.Ch14Cor147SourceDomainConstructor	compatibility-shim	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.SourceDomainConstructor	frozen-B0009
NumStability.Algorithms.Ch14Corollary146Closure	compatibility-shim	Mathlib.Analysis.Asymptotics.Lemmas	frozen-B0009
NumStability.Algorithms.Ch14Corollary146Closure	compatibility-shim	NumStability.Algorithms.Ch14Corollary146Concrete	frozen-B0009
NumStability.Algorithms.Ch14Corollary146Closure	compatibility-shim	NumStability.Algorithms.Ch14GaussJordanQConstruction	frozen-B0009
NumStability.Algorithms.Ch14Corollary146Closure	compatibility-shim	NumStability.Source.Higham.Chapter14.Corollary06.SPD.Closure	frozen-B0009
NumStability.Algorithms.Ch14Corollary146Concrete	compatibility-shim	NumStability.Algorithms.Ch14GaussJordanQConstruction	frozen-B0009
NumStability.Algorithms.Ch14Corollary146Concrete	compatibility-shim	NumStability.Algorithms.Ch14GaussJordanSPDCorollary	frozen-B0009
NumStability.Algorithms.Ch14Corollary146Concrete	compatibility-shim	NumStability.Source.Higham.Chapter14.Corollary06.SPD.Concrete	frozen-B0009
NumStability.Algorithms.Ch14Corollary146SourceClosure	compatibility-shim	NumStability.Algorithms.Ch14Corollary146Closure	frozen-B0009
NumStability.Algorithms.Ch14Corollary146SourceClosure	compatibility-shim	NumStability.Algorithms.Ch14GJETheorem145SourceClosure	frozen-B0009
NumStability.Algorithms.Ch14Corollary146SourceClosure	compatibility-shim	NumStability.Source.Higham.Chapter14.Corollary06.SPD.SourceClosure	frozen-B0009
NumStability.Algorithms.Ch14Corollary147	compatibility-shim	NumStability.Source.Higham.Chapter08.Section03.TriangularSystems.InverseBoundsPrelude	frozen-B0009
NumStability.Algorithms.Ch14Corollary147	compatibility-shim	NumStability.Source.Higham.Chapter09.Problems	frozen-B0009
NumStability.Algorithms.Ch14Corollary147	compatibility-shim	NumStability.Source.Higham.Chapter09.Section01	frozen-B0009
NumStability.Algorithms.Ch14Corollary147	compatibility-shim	NumStability.Source.Higham.Chapter09.Section02	frozen-B0009
NumStability.Algorithms.Ch14Corollary147	compatibility-shim	NumStability.Source.Higham.Chapter09.Section03	frozen-B0009
NumStability.Algorithms.Ch14Corollary147	compatibility-shim	NumStability.Source.Higham.Chapter09.Section04	frozen-B0009
NumStability.Algorithms.Ch14Corollary147	compatibility-shim	NumStability.Source.Higham.Chapter09.Section05	frozen-B0009
NumStability.Algorithms.Ch14Corollary147	compatibility-shim	NumStability.Source.Higham.Chapter09.Section06	frozen-B0009
NumStability.Algorithms.Ch14Corollary147	compatibility-shim	NumStability.Source.Higham.Chapter09.Section08	frozen-B0009
NumStability.Algorithms.Ch14Corollary147	compatibility-shim	NumStability.Source.Higham.Chapter09.Section10	frozen-B0009
NumStability.Algorithms.Ch14Corollary147	compatibility-shim	NumStability.Source.Higham.Chapter09.Section11	frozen-B0009
NumStability.Algorithms.Ch14Corollary147	compatibility-shim	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.Basic	frozen-B0009
NumStability.Algorithms.Ch14Corollary147Closure	compatibility-shim	NumStability.Algorithms.Ch14Corollary147	frozen-B0009
NumStability.Algorithms.Ch14Corollary147Closure	compatibility-shim	NumStability.Algorithms.Ch14GaussJordanQConstruction	frozen-B0009
NumStability.Algorithms.Ch14Corollary147Closure	compatibility-shim	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.Closure	frozen-B0009
NumStability.Algorithms.Ch14Corollary147Concrete	compatibility-shim	NumStability.Algorithms.Ch14Corollary147	frozen-B0009
NumStability.Algorithms.Ch14Corollary147Concrete	compatibility-shim	NumStability.Algorithms.Ch14Corollary147Closure	frozen-B0009
NumStability.Algorithms.Ch14Corollary147Concrete	compatibility-shim	NumStability.Algorithms.Ch14GaussJordanQConstruction	frozen-B0009
NumStability.Algorithms.Ch14Corollary147Concrete	compatibility-shim	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.Concrete	frozen-B0009
NumStability.Algorithms.Ch14Corollary147SourceClosure	compatibility-shim(new)	NumStability.Algorithms.Ch14Corollary147WeakFamily	frozen-B0009
NumStability.Algorithms.Ch14Corollary147SourceClosure	compatibility-shim(new)	NumStability.Algorithms.Ch14GJESourceAccumulationBridge	frozen-B0009
NumStability.Algorithms.Ch14Corollary147SourceClosure	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.SourceClosure	frozen-B0009
NumStability.Algorithms.Ch14Corollary147SourceClosure	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Corollary07.PrintedTraceFamilies.ResidualAndForwardEndpoints	frozen-B0009
NumStability.Algorithms.Ch14Corollary147WeakFamily	compatibility-shim(new)	NumStability.Algorithms.Ch14AsymptoticFamilies	frozen-B0009
NumStability.Algorithms.Ch14Corollary147WeakFamily	compatibility-shim(new)	NumStability.Algorithms.Ch14Corollary147Closure	frozen-B0009
NumStability.Algorithms.Ch14Corollary147WeakFamily	compatibility-shim(new)	NumStability.Algorithms.Ch14Corollary147Concrete	frozen-B0009
NumStability.Algorithms.Ch14Corollary147WeakFamily	compatibility-shim(new)	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	frozen-B0009
NumStability.Algorithms.Ch14Corollary147WeakFamily	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.WeakFamily	frozen-B0009
NumStability.Algorithms.Ch14Corollary147WeakFamily	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Corollary07.WeakDominanceFamilies.ResidualAndForwardBounds	frozen-B0009
NumStability.Algorithms.Ch14ForwardErrorEndpoint	compatibility-shim(new)	Mathlib.Analysis.Asymptotics.Lemmas	frozen-B0009
NumStability.Algorithms.Ch14ForwardErrorEndpoint	compatibility-shim(new)	NumStability.Algorithms.MatrixInversion	frozen-B0009
NumStability.Algorithms.Ch14ForwardErrorEndpoint	compatibility-shim(new)	NumStability.Analysis.MatrixAlgebra	frozen-B0009
NumStability.Algorithms.Ch14ForwardErrorEndpoint	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Problem05.InverseBasedSolve.ForwardErrorEndpoint	frozen-B0009
NumStability.Algorithms.Ch14ForwardErrorEndpoint	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ForwardErrorEndpoint	frozen-B0009
NumStability.Algorithms.Ch14ForwardErrorEndpoint	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ScaledPerturbationEndpoints.ForwardError	frozen-B0009
NumStability.Algorithms.Ch14ForwardErrorEndpoint	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1.ForwardErrorEndpoint	frozen-B0009
NumStability.Algorithms.Ch14GJEActualDoolittleAdapter	compatibility-shim	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	frozen-B0009
NumStability.Algorithms.Ch14GJEActualDoolittleAdapter	compatibility-shim	NumStability.Source.Higham.Chapter09.DoolittleClosure	frozen-B0009
NumStability.Algorithms.Ch14GJEActualDoolittleAdapter	compatibility-shim	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEActualDoolittleAdapter	frozen-B0009
NumStability.Algorithms.Ch14GJEAsymptoticFamilies	compatibility-shim(new)	NumStability.Algorithms.Ch14AsymptoticFamilies	frozen-B0009
NumStability.Algorithms.Ch14GJEAsymptoticFamilies	compatibility-shim(new)	NumStability.Algorithms.Ch14GaussJordanQConstruction	frozen-B0009
NumStability.Algorithms.Ch14GJEAsymptoticFamilies	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Theorem05.EliminationFamilies.CoefficientAsymptotics	frozen-B0009
NumStability.Algorithms.Ch14GJEAsymptoticFamilies	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.GJEAsymptoticFamilies	frozen-B0009
NumStability.Algorithms.Ch14GJEFinalDivisionClosure	compatibility-shim(new)	NumStability.Algorithms.Ch14Corollary146Closure	frozen-B0009
NumStability.Algorithms.Ch14GJEFinalDivisionClosure	compatibility-shim(new)	NumStability.Algorithms.Ch14Corollary147Closure	frozen-B0009
NumStability.Algorithms.Ch14GJEFinalDivisionClosure	compatibility-shim(new)	NumStability.Algorithms.Ch14GJEOperationalBridge	frozen-B0009
NumStability.Algorithms.Ch14GJEFinalDivisionClosure	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure	frozen-B0009
NumStability.Algorithms.Ch14GJEFinalDivisionClosure	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies	frozen-B0009
NumStability.Algorithms.Ch14GJEFinalDivisionClosure	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.GJEFinalDivisionClosure	frozen-B0009
NumStability.Algorithms.Ch14GJEOperationalBridge	compatibility-shim	NumStability.Algorithms.Ch14GJETheorem145SourceClosure	frozen-B0009
NumStability.Algorithms.Ch14GJEOperationalBridge	compatibility-shim	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEOperationalBridge	frozen-B0009
NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	compatibility-shim(new)	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	frozen-B0009
NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.GJEPrintedEnvelopeClosure	frozen-B0009
NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Theorem05.PrintedEnvelopes.CorrectionBounds	frozen-B0009
NumStability.Algorithms.Ch14GJESourceAccumulationBridge	compatibility-shim	NumStability.Algorithms.Ch14GaussJordanSourceClosure	frozen-B0009
NumStability.Algorithms.Ch14GJESourceAccumulationBridge	compatibility-shim	NumStability.Source.Higham.Chapter14.Algorithm04.Accumulation.GJESourceAccumulationBridge	frozen-B0009
NumStability.Algorithms.Ch14GJETheorem145SourceClosure	compatibility-shim(new)	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	frozen-B0009
NumStability.Algorithms.Ch14GJETheorem145SourceClosure	compatibility-shim(new)	NumStability.Algorithms.Ch14GJESourceAccumulationBridge	frozen-B0009
NumStability.Algorithms.Ch14GJETheorem145SourceClosure	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.GJETheorem145SourceClosure	frozen-B0009
NumStability.Algorithms.Ch14GJETheorem145SourceClosure	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Theorem05.PrintedTrace.VanishingEndpoints	frozen-B0009
NumStability.Algorithms.Ch14GaussJordanAccumulation	compatibility-shim	NumStability.Algorithms.Ch14GaussJordanStep	frozen-B0009
NumStability.Algorithms.Ch14GaussJordanAccumulation	compatibility-shim	NumStability.Algorithms.GaussJordan	frozen-B0009
NumStability.Algorithms.Ch14GaussJordanAccumulation	compatibility-shim	NumStability.Analysis.MatrixAlgebra	frozen-B0009
NumStability.Algorithms.Ch14GaussJordanAccumulation	compatibility-shim	NumStability.Source.Higham.Chapter14.Algorithm04.Accumulation.GaussJordanAccumulation	frozen-B0009
NumStability.Algorithms.Ch14GaussJordanQConstruction	compatibility-shim	NumStability.Algorithms.Ch14GaussJordanAccumulation	frozen-B0009
NumStability.Algorithms.Ch14GaussJordanQConstruction	compatibility-shim	NumStability.Algorithms.Ch14GaussJordanStep	frozen-B0009
NumStability.Algorithms.Ch14GaussJordanQConstruction	compatibility-shim	NumStability.Algorithms.GaussJordan	frozen-B0009
NumStability.Algorithms.Ch14GaussJordanQConstruction	compatibility-shim	NumStability.Analysis.MatrixAlgebra	frozen-B0009
NumStability.Algorithms.Ch14GaussJordanQConstruction	compatibility-shim	NumStability.Source.Higham.Chapter14.Algorithm04.SecondStage.GaussJordanQConstruction	frozen-B0009
NumStability.Algorithms.Ch14GaussJordanQConstruction	compatibility-shim	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.GaussJordanQConstruction	frozen-B0009
NumStability.Algorithms.Ch14GaussJordanSPDCorollary	compatibility-shim	NumStability.Algorithms.GaussJordan	frozen-B0009
NumStability.Algorithms.Ch14GaussJordanSPDCorollary	compatibility-shim	NumStability.Analysis.MatrixNorms.EntrywiseAbsolute.Basic	frozen-B0009
NumStability.Algorithms.Ch14GaussJordanSPDCorollary	compatibility-shim	NumStability.Source.Higham.Chapter10.Equation07.AbsoluteFactorNorm.Endpoints	frozen-B0009
NumStability.Algorithms.Ch14GaussJordanSPDCorollary	compatibility-shim	NumStability.Source.Higham.Chapter14.Corollary06.SPD.GaussJordanSPDCorollary	frozen-B0009
NumStability.Algorithms.Ch14GaussJordanSPDCorollary	compatibility-shim	NumStability.Source.Higham.Chapter14.Problem15	frozen-B0009
NumStability.Algorithms.Ch14GaussJordanSourceClosure	compatibility-shim	NumStability.Algorithms.Ch14GaussJordanQConstruction	frozen-B0009
NumStability.Algorithms.Ch14GaussJordanSourceClosure	compatibility-shim	NumStability.Algorithms.GaussJordanPivoting	frozen-B0009
NumStability.Algorithms.Ch14GaussJordanSourceClosure	compatibility-shim	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GaussJordanSourceClosure	frozen-B0009
NumStability.Algorithms.Ch14GaussJordanStep	compatibility-shim	NumStability.Algorithms.GaussJordan	frozen-B0009
NumStability.Algorithms.Ch14GaussJordanStep	compatibility-shim	NumStability.Analysis.MatrixAlgebra	frozen-B0009
NumStability.Algorithms.Ch14GaussJordanStep	compatibility-shim	NumStability.Source.Higham.Chapter14.Algorithm04.SecondStage.GaussJordanStep	frozen-B0009
NumStability.Algorithms.Ch14Method1BWhole	compatibility-shim(new)	NumStability.Algorithms.Ch14BlockTriInverse	frozen-B0009
NumStability.Algorithms.Ch14Method1BWhole	compatibility-shim(new)	NumStability.Algorithms.MatMul	frozen-B0009
NumStability.Algorithms.Ch14Method1BWhole	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1B.BlockResidual.WholeMatrixBounds	frozen-B0009
NumStability.Algorithms.Ch14Method1BWhole	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1B.Method1BWhole	frozen-B0009
NumStability.Algorithms.Ch14Method2C	compatibility-shim(new)	Mathlib.Algebra.BigOperators.Fin	frozen-B0009
NumStability.Algorithms.Ch14Method2C	compatibility-shim(new)	Mathlib.Algebra.BigOperators.Group.Finset.Basic	frozen-B0009
NumStability.Algorithms.Ch14Method2C	compatibility-shim(new)	Mathlib.Algebra.Order.BigOperators.Group.Finset	frozen-B0009
NumStability.Algorithms.Ch14Method2C	compatibility-shim(new)	Mathlib.Data.Real.Basic	frozen-B0009
NumStability.Algorithms.Ch14Method2C	compatibility-shim(new)	Mathlib.Tactic.Linarith	frozen-B0009
NumStability.Algorithms.Ch14Method2C	compatibility-shim(new)	Mathlib.Tactic.LinearCombination	frozen-B0009
NumStability.Algorithms.Ch14Method2C	compatibility-shim(new)	Mathlib.Tactic.Ring	frozen-B0009
NumStability.Algorithms.Ch14Method2C	compatibility-shim(new)	NumStability.Algorithms.Ch14BlockTriInverse	frozen-B0009
NumStability.Algorithms.Ch14Method2C	compatibility-shim(new)	NumStability.Algorithms.LinearSystems.Triangular.BackSubstitution	frozen-B0009
NumStability.Algorithms.Ch14Method2C	compatibility-shim(new)	NumStability.Algorithms.MatMul	frozen-B0009
NumStability.Algorithms.Ch14Method2C	compatibility-shim(new)	NumStability.Algorithms.MatrixInversion	frozen-B0009
NumStability.Algorithms.Ch14Method2C	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.BlockResidual.LeftResidualBounds	frozen-B0009
NumStability.Algorithms.Ch14Method2C	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.Method2C	frozen-B0009
NumStability.Algorithms.Ch14Method2CWhole	compatibility-shim(new)	NumStability.Algorithms.Ch14Method2C	frozen-B0009
NumStability.Algorithms.Ch14Method2CWhole	compatibility-shim(new)	NumStability.Algorithms.Ch14Method2Loop	frozen-B0009
NumStability.Algorithms.Ch14Method2CWhole	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.Method2CWhole	frozen-B0009
NumStability.Algorithms.Ch14Method2CWhole	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.WholeMatrixResidual.LeftResidualBounds	frozen-B0009
NumStability.Algorithms.Ch14Method2Loop	compatibility-shim	NumStability.Algorithms.DotProduct	frozen-B0009
NumStability.Algorithms.Ch14Method2Loop	compatibility-shim	NumStability.Algorithms.GaussJordan	frozen-B0009
NumStability.Algorithms.Ch14Method2Loop	compatibility-shim	NumStability.Algorithms.MatrixInversion	frozen-B0009
NumStability.Algorithms.Ch14Method2Loop	compatibility-shim	NumStability.Analysis.MatrixAlgebra	frozen-B0009
NumStability.Algorithms.Ch14Method2Loop	compatibility-shim	NumStability.FloatingPoint.Model	frozen-B0009
NumStability.Algorithms.Ch14Method2Loop	compatibility-shim	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2.Method2Loop	frozen-B0009
NumStability.Algorithms.Ch14MethodDLeftResidual	compatibility-shim	NumStability.Algorithms.Ch14Method2Loop	frozen-B0009
NumStability.Algorithms.Ch14MethodDLeftResidual	compatibility-shim	NumStability.Algorithms.DotProduct	frozen-B0009
NumStability.Algorithms.Ch14MethodDLeftResidual	compatibility-shim	NumStability.Algorithms.GaussJordan	frozen-B0009
NumStability.Algorithms.Ch14MethodDLeftResidual	compatibility-shim	NumStability.Algorithms.MatrixInversion	frozen-B0009
NumStability.Algorithms.Ch14MethodDLeftResidual	compatibility-shim	NumStability.Analysis.MatrixAlgebra	frozen-B0009
NumStability.Algorithms.Ch14MethodDLeftResidual	compatibility-shim	NumStability.FloatingPoint.Model	frozen-B0009
NumStability.Algorithms.Ch14MethodDLeftResidual	compatibility-shim	NumStability.Source.Higham.Chapter14.Section03.LUFactorInversion.MethodD.MethodDLeftResidual	frozen-B0009
NumStability.Algorithms.Ch14MethodDProductDischarge	compatibility-shim	NumStability.Algorithms.Ch14MethodDUpperCertificate	frozen-B0009
NumStability.Algorithms.Ch14MethodDProductDischarge	compatibility-shim	NumStability.Source.Higham.Chapter14.Section03.LUFactorInversion.MethodD.MethodDProductDischarge	frozen-B0009
NumStability.Algorithms.Ch14MethodDUpperCertificate	compatibility-shim	NumStability.Algorithms.Ch14Method2Loop	frozen-B0009
NumStability.Algorithms.Ch14MethodDUpperCertificate	compatibility-shim	NumStability.Algorithms.Ch14MethodDLeftResidual	frozen-B0009
NumStability.Algorithms.Ch14MethodDUpperCertificate	compatibility-shim	NumStability.Source.Higham.Chapter14.Section03.LUFactorInversion.MethodD.MethodDUpperCertificate	frozen-B0009
NumStability.Algorithms.Ch14MethodsBC	compatibility-shim	NumStability.Algorithms.Ch14MethodDUpperCertificate	frozen-B0009
NumStability.Algorithms.Ch14MethodsBC	compatibility-shim	NumStability.Algorithms.DotProduct	frozen-B0009
NumStability.Algorithms.Ch14MethodsBC	compatibility-shim	NumStability.Algorithms.LinearSystems.LU.Doolittle.Assembly.Core	frozen-B0009
NumStability.Algorithms.Ch14MethodsBC	compatibility-shim	NumStability.Algorithms.LinearSystems.LU.Doolittle.Basic	frozen-B0009
NumStability.Algorithms.Ch14MethodsBC	compatibility-shim	NumStability.Algorithms.LinearSystems.Triangular.BackSubstitution	frozen-B0009
NumStability.Algorithms.Ch14MethodsBC	compatibility-shim	NumStability.Source.Higham.Chapter14.Section03.LUFactorInversion.MethodB.MethodsBC	frozen-B0009
NumStability.Algorithms.Ch14MethodsBC	compatibility-shim	NumStability.Source.Higham.Chapter14.Section03.LUFactorInversion.MethodC.MethodsBC	frozen-B0009
NumStability.Algorithms.Ch14Problem142	compatibility-shim(new)	NumStability.Algorithms.Ch14Method1BWhole	frozen-B0009
NumStability.Algorithms.Ch14Problem142	compatibility-shim(new)	NumStability.Algorithms.Ch14Method2CWhole	frozen-B0009
NumStability.Algorithms.Ch14Problem142	compatibility-shim(new)	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderModels	frozen-B0009
NumStability.Algorithms.Ch14Problem142	compatibility-shim(new)	NumStability.Analysis.FirstOrder.FixedPrecision	frozen-B0009
NumStability.Algorithms.Ch14Problem142	compatibility-shim(new)	NumStability.Analysis.MatrixNorms.EntrywiseMaximum	frozen-B0009
NumStability.Algorithms.Ch14Problem142	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.Basic	frozen-B0009
NumStability.Algorithms.Ch14Problem142	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockFirstOrder.Derivations	frozen-B0009
NumStability.Algorithms.Ch14Problem142Families	compatibility-shim(new)	NumStability.Algorithms.Ch14AsymptoticFamilies	frozen-B0009
NumStability.Algorithms.Ch14Problem142Families	compatibility-shim(new)	NumStability.Algorithms.Ch14Problem142	frozen-B0009
NumStability.Algorithms.Ch14Problem142Families	compatibility-shim(new)	NumStability.Algorithms.Ch14Problem142Method2B	frozen-B0009
NumStability.Algorithms.Ch14Problem142Families	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.Families	frozen-B0009
NumStability.Algorithms.Ch14Problem142Families	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockFamilies.Derivations	frozen-B0009
NumStability.Algorithms.Ch14Problem142Method2B	compatibility-shim(new)	NumStability.Algorithms.Ch14Problem142	frozen-B0009
NumStability.Algorithms.Ch14Problem142Method2B	compatibility-shim(new)	NumStability.Algorithms.MatrixInversionMethod2BInstance	frozen-B0009
NumStability.Algorithms.Ch14Problem142Method2B	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.Method2B	frozen-B0009
NumStability.Algorithms.Ch14Problem142Method2B	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockMethod2B.FirstOrderBound	frozen-B0009
NumStability.Algorithms.Ch14ProductErrorNotation	compatibility-shim	NumStability.Algorithms.MatMul	frozen-B0009
NumStability.Algorithms.Ch14ProductErrorNotation	compatibility-shim	NumStability.Algorithms.MatrixInversion	frozen-B0009
NumStability.Algorithms.Ch14ProductErrorNotation	compatibility-shim	NumStability.Analysis.Error.MatrixProducts.EvaluationTrees.ProductErrorNotation	frozen-B0009
NumStability.Algorithms.Ch14ProductErrorNotation	compatibility-shim	NumStability.Source.Higham.Chapter14.Section01.ProductErrorNotation.ProductErrorNotation	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	Mathlib.Algebra.BigOperators.Group.Finset.Basic	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	Mathlib.Algebra.BigOperators.Ring.Finset	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	Mathlib.Algebra.Order.BigOperators.Group.Finset	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	Mathlib.Data.Real.Basic	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	Mathlib.Tactic.FieldSimp	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	Mathlib.Tactic.Linarith	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	Mathlib.Tactic.Ring	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	NumStability.Algorithms.LinearSystems.GaussJordan.ErrorAnalysis.GaussJordan	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	NumStability.Algorithms.LU.GaussianElimination	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	NumStability.Analysis.ForwardError	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	NumStability.Analysis.Rounding	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	NumStability.FloatingPoint.Model	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	NumStability.Source.Higham.Chapter09.Problems	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	NumStability.Source.Higham.Chapter09.Section01	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	NumStability.Source.Higham.Chapter09.Section02	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	NumStability.Source.Higham.Chapter09.Section03	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	NumStability.Source.Higham.Chapter09.Section04	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	NumStability.Source.Higham.Chapter09.Section05	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	NumStability.Source.Higham.Chapter09.Section06	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	NumStability.Source.Higham.Chapter09.Section08	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	NumStability.Source.Higham.Chapter09.Section10	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	NumStability.Source.Higham.Chapter09.Section11	frozen-B0009
NumStability.Algorithms.GaussJordan	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Corollary07.RowDominantCertificates.CumulativeProductBounds	frozen-B0009
NumStability.Algorithms.GaussJordanPivoting	compatibility-shim	Mathlib.Algebra.Order.AbsoluteValue.Basic	frozen-B0009
NumStability.Algorithms.GaussJordanPivoting	compatibility-shim	Mathlib.Data.Finset.Max	frozen-B0009
NumStability.Algorithms.GaussJordanPivoting	compatibility-shim	Mathlib.Data.Real.Basic	frozen-B0009
NumStability.Algorithms.GaussJordanPivoting	compatibility-shim	Mathlib.GroupTheory.Perm.Basic	frozen-B0009
NumStability.Algorithms.GaussJordanPivoting	compatibility-shim	Mathlib.Logic.Equiv.Basic	frozen-B0009
NumStability.Algorithms.GaussJordanPivoting	compatibility-shim	Mathlib.Tactic.Linarith	frozen-B0009
NumStability.Algorithms.GaussJordanPivoting	compatibility-shim	NumStability.Algorithms.LU.GaussianElimination	frozen-B0009
NumStability.Algorithms.GaussJordanPivoting	compatibility-shim	NumStability.Analysis.MatrixAlgebra	frozen-B0009
NumStability.Algorithms.GaussJordanPivoting	compatibility-shim	NumStability.Source.Higham.Chapter14.Algorithm04.Pivoting.GaussJordanPivoting	frozen-B0009
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	Mathlib.Algebra.BigOperators.Group.Finset.Basic	frozen-B0009
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	Mathlib.Algebra.BigOperators.Ring.Finset	frozen-B0009
