module	path	wave_id	lane_id	inventory_source	frozen_proposed_tier	frozen_proposed_family	review_status
NumStability.Algorithms.Ch14MethodDLeftResidual	NumStability/Algorithms/Ch14MethodDLeftResidual.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14MethodDProductDischarge	NumStability/Algorithms/Ch14MethodDProductDischarge.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14MethodDUpperCertificate	NumStability/Algorithms/Ch14MethodDUpperCertificate.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14MethodsBC	NumStability/Algorithms/Ch14MethodsBC.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Problem142	NumStability/Algorithms/Ch14Problem142.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Problem142Families	NumStability/Algorithms/Ch14Problem142Families.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14Problem142Method2B	NumStability/Algorithms/Ch14Problem142Method2B.lean	R08	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch14ProductErrorNotation	NumStability/Algorithms/Ch14ProductErrorNotation.lean	R08	claude-lane	immutable-C0008-inventory	mixed_pending_split	NumStability.Algorithms.MatrixInversion + NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch5DerivativeError	NumStability/Algorithms/Ch5DerivativeError.lean	R03	codex-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter05	frozen_proposal_requires_refresh
NumStability.Algorithms.Ch5SourceClosure	NumStability/Algorithms/Ch5SourceClosure.lean	R03	codex-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter05	frozen_proposal_requires_refresh
NumStability.Algorithms.Cholesky.CholeskyDemmel	NumStability/Algorithms/Cholesky/CholeskyDemmel.lean	R04	claude-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.LinearSystems.Cholesky	frozen_proposal_requires_refresh
NumStability.Algorithms.Cholesky.CholeskyFl	NumStability/Algorithms/Cholesky/CholeskyFl.lean	R04	claude-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.LinearSystems.Cholesky	frozen_proposal_requires_refresh
NumStability.Algorithms.Cholesky.CholeskyNonsym	NumStability/Algorithms/Cholesky/CholeskyNonsym.lean	R04	claude-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.LinearSystems.Cholesky	frozen_proposal_requires_refresh
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability/Algorithms/Cholesky/CholeskyPSD.lean	R04	claude-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.LinearSystems.Cholesky	semantic_review_required
NumStability.Algorithms.Cholesky.CholeskySpec	NumStability/Algorithms/Cholesky/CholeskySpec.lean	R04	claude-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.LinearSystems.Cholesky	frozen_proposal_requires_refresh
NumStability.Algorithms.Cholesky.Higham1014Equation1022	NumStability/Algorithms/Cholesky/Higham1014Equation1022.lean	R04	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter10	frozen_proposal_requires_refresh
NumStability.Algorithms.Cholesky.Higham1014SourceError	NumStability/Algorithms/Cholesky/Higham1014SourceError.lean	R04	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter10	frozen_proposal_requires_refresh
NumStability.Algorithms.Cholesky.Higham1029Source	NumStability/Algorithms/Cholesky/Higham1029Source.lean	R04	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter10	frozen_proposal_requires_refresh
NumStability.Algorithms.Cholesky.HighamMathiasSource	NumStability/Algorithms/Cholesky/HighamMathiasSource.lean	R04	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter11	frozen_proposal_requires_refresh
NumStability.Algorithms.GaussJordan	NumStability/Algorithms/GaussJordan.lean	R08	claude-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.GaussJordan	frozen_proposal_requires_refresh
NumStability.Algorithms.GaussJordanPivoting	NumStability/Algorithms/GaussJordanPivoting.lean	R08	claude-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.GaussJordanPivoting	confirmed_source
NumStability.Algorithms.Higham5FastPolynomialEvaluation	NumStability/Algorithms/Higham5FastPolynomialEvaluation.lean	R03	codex-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter05	frozen_proposal_requires_refresh
NumStability.Algorithms.Higham5PatersonStockmeyer	NumStability/Algorithms/Higham5PatersonStockmeyer.lean	R03	codex-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter05	frozen_proposal_requires_refresh
NumStability.Algorithms.Higham726Rump	NumStability/Algorithms/Higham726Rump.lean	R03	codex-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter72	confirmed_bad_route
NumStability.Algorithms.HighamChapter10	NumStability/Algorithms/HighamChapter10.lean	R04	claude-lane	immutable-C0008-inventory	mixed_pending_split	NumStability.Algorithms.LinearSystems.Cholesky + NumStability.Source.Higham.Chapter10	frozen_proposal_requires_refresh
NumStability.Algorithms.HighamChapter5ComplexAlgorithm51	NumStability/Algorithms/HighamChapter5ComplexAlgorithm51.lean	R03	codex-lane	immutable-C0008-inventory	mixed_pending_split	NumStability.Algorithms.PolynomialEvaluation + NumStability.Source.Higham.Chapter05	frozen_proposal_requires_refresh
NumStability.Algorithms.HighamChapters1To9SourceClosure	NumStability/Algorithms/HighamChapters1To9SourceClosure.lean	R03	codex-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Review	frozen_proposal_requires_refresh
NumStability.Algorithms.Horner	NumStability/Algorithms/Horner.lean	R03	codex-lane	immutable-C0008-inventory	mixed_pending_split	NumStability.Algorithms.PolynomialEvaluation + NumStability.Source.Higham.Chapter05	frozen_proposal_requires_refresh
NumStability.Algorithms.KahanAbsolute	NumStability/Algorithms/KahanAbsolute.lean	R03	codex-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Review	frozen_proposal_requires_refresh
NumStability.Algorithms.MatrixInversion	NumStability/Algorithms/MatrixInversion.lean	R08	claude-lane	immutable-C0008-inventory	mixed_pending_split	NumStability.Algorithms.MatrixInversion + NumStability.Source.Higham.Chapter14	frozen_proposal_requires_refresh
NumStability.Algorithms.MatrixInversionMethod2BInstance	NumStability/Algorithms/MatrixInversionMethod2BInstance.lean	R08	claude-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.MatrixInversionMethod2BInstance	frozen_proposal_requires_refresh
NumStability.Algorithms.MatrixPowers	NumStability/Algorithms/MatrixPowers.lean	R07	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch18	family_migration_required
NumStability.Algorithms.MatrixPowersComplex	NumStability/Algorithms/MatrixPowersComplex.lean	R07	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch18	family_migration_required
NumStability.Algorithms.MatrixPowersJordan	NumStability/Algorithms/MatrixPowersJordan.lean	R07	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch18	family_migration_required
NumStability.Algorithms.MatrixPowersLp	NumStability/Algorithms/MatrixPowersLp.lean	R07	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch18	family_migration_required
NumStability.Algorithms.MatrixPowersLpJordan	NumStability/Algorithms/MatrixPowersLpJordan.lean	R07	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch18	family_migration_required
NumStability.Algorithms.MatrixPowersPseudospectral	NumStability/Algorithms/MatrixPowersPseudospectral.lean	R07	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch18	family_migration_required
NumStability.Algorithms.MatrixPowersPseudospectralCriterion	NumStability/Algorithms/MatrixPowersPseudospectralCriterion.lean	R07	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch18	family_migration_required
NumStability.Algorithms.MatrixPowersSpectral	NumStability/Algorithms/MatrixPowersSpectral.lean	R07	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch18	family_migration_required
NumStability.Algorithms.RandNLA	NumStability/Algorithms/RandNLA.lean	R10	codex-lane	immutable-C0008-inventory	aggregate	NumStability.Algorithms.RandNLA	frozen_proposal_requires_refresh
NumStability.Algorithms.RandNLA.ElementwiseSampling	NumStability/Algorithms/RandNLA/ElementwiseSampling.lean	R10	codex-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.RandomizedLinearAlgebra	frozen_proposal_requires_refresh
NumStability.Algorithms.RandNLA.ElementwiseSpectral	NumStability/Algorithms/RandNLA/ElementwiseSpectral.lean	R10	codex-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.RandomizedLinearAlgebra	semantic_review_required
NumStability.Algorithms.RandNLA.ElementwiseTraceMGF	NumStability/Algorithms/RandNLA/ElementwiseTraceMGF.lean	R10	codex-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.RandomizedLinearAlgebra	frozen_proposal_requires_refresh
NumStability.Algorithms.RandNLA.HitCountConcentration	NumStability/Algorithms/RandNLA/HitCountConcentration.lean	R10	codex-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.RandomizedLinearAlgebra	frozen_proposal_requires_refresh
NumStability.Algorithms.RandNLA.LeastSquaresSketch	NumStability/Algorithms/RandNLA/LeastSquaresSketch.lean	R10	codex-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.RandomizedLinearAlgebra	frozen_proposal_requires_refresh
NumStability.Algorithms.RandNLA.LowRankApprox	NumStability/Algorithms/RandNLA/LowRankApprox.lean	R10	codex-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.RandomizedLinearAlgebra	semantic_review_required
NumStability.Algorithms.RandNLA.Preconditioning	NumStability/Algorithms/RandNLA/Preconditioning.lean	R10	codex-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.RandomizedLinearAlgebra	frozen_proposal_requires_refresh
NumStability.Algorithms.RandNLA.RowSampling	NumStability/Algorithms/RandNLA/RowSampling.lean	R10	codex-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.RandomizedLinearAlgebra	frozen_proposal_requires_refresh
NumStability.Algorithms.RandNLA.RowSamplingGram	NumStability/Algorithms/RandNLA/RowSamplingGram.lean	R10	codex-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.RandomizedLinearAlgebra	frozen_proposal_requires_refresh
NumStability.Algorithms.RandNLA.RowSamplingLeverage	NumStability/Algorithms/RandNLA/RowSamplingLeverage.lean	R10	codex-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.RandomizedLinearAlgebra	frozen_proposal_requires_refresh
NumStability.Algorithms.RandNLA.RowSamplingLeverageComputedBasis	NumStability/Algorithms/RandNLA/RowSamplingLeverageComputedBasis.lean	R10	codex-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.RandomizedLinearAlgebra	frozen_proposal_requires_refresh
NumStability.Algorithms.RandNLA.RowSamplingLeverageMGF	NumStability/Algorithms/RandNLA/RowSamplingLeverageMGF.lean	R10	codex-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.RandomizedLinearAlgebra	frozen_proposal_requires_refresh
NumStability.Algorithms.RandNLA.RowSamplingTraceMGF	NumStability/Algorithms/RandNLA/RowSamplingTraceMGF.lean	R10	codex-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.RandomizedLinearAlgebra	frozen_proposal_requires_refresh
NumStability.Algorithms.RandNLA.UniformRowSampling	NumStability/Algorithms/RandNLA/UniformRowSampling.lean	R10	codex-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.RandomizedLinearAlgebra	frozen_proposal_requires_refresh
NumStability.Algorithms.RandNLA.UniformRowSamplingComposition	NumStability/Algorithms/RandNLA/UniformRowSamplingComposition.lean	R10	codex-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.RandomizedLinearAlgebra	frozen_proposal_requires_refresh
NumStability.Algorithms.RandNLA.UniformRowSamplingFP	NumStability/Algorithms/RandNLA/UniformRowSamplingFP.lean	R10	codex-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.RandomizedLinearAlgebra	frozen_proposal_requires_refresh
NumStability.Algorithms.RandNLA.UniformRowSamplingMGF	NumStability/Algorithms/RandNLA/UniformRowSamplingMGF.lean	R10	codex-lane	immutable-C0008-inventory	reusable	NumStability.Algorithms.RandomizedLinearAlgebra	frozen_proposal_requires_refresh
NumStability.Algorithms.Sylvester.Higham16	NumStability/Algorithms/Sylvester/Higham16.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16AutoCondition	NumStability/Algorithms/Sylvester/Higham16AutoCondition.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16Eq9Assembly	NumStability/Algorithms/Sylvester/Higham16Eq9Assembly.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16Eq9EndToEnd	NumStability/Algorithms/Sylvester/Higham16Eq9EndToEnd.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16HessenbergRounded	NumStability/Algorithms/Sylvester/Higham16HessenbergRounded.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16HessenbergSchur	NumStability/Algorithms/Sylvester/Higham16HessenbergSchur.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16Lyapunov	NumStability/Algorithms/Sylvester/Higham16Lyapunov.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16LyapunovSigmaMin	NumStability/Algorithms/Sylvester/Higham16LyapunovSigmaMin.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16Minimizers	NumStability/Algorithms/Sylvester/Higham16Minimizers.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16NormEstimator	NumStability/Algorithms/Sylvester/Higham16NormEstimator.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16PerturbationSigmaMin	NumStability/Algorithms/Sylvester/Higham16PerturbationSigmaMin.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16PivotedSmallBlocks	NumStability/Algorithms/Sylvester/Higham16PivotedSmallBlocks.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16Problem16_2	NumStability/Algorithms/Sylvester/Higham16Problem16_2.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16Psi	NumStability/Algorithms/Sylvester/Higham16Psi.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16PsiSigmaMin	NumStability/Algorithms/Sylvester/Higham16PsiSigmaMin.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16QuasiQuasiRounded	NumStability/Algorithms/Sylvester/Higham16QuasiQuasiRounded.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16QuasiQuasiSylvester	NumStability/Algorithms/Sylvester/Higham16QuasiQuasiSylvester.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16QuasiRoundedSolve	NumStability/Algorithms/Sylvester/Higham16QuasiRoundedSolve.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16QuasiRoundedSylvester	NumStability/Algorithms/Sylvester/Higham16QuasiRoundedSylvester.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16RoundedExecutor	NumStability/Algorithms/Sylvester/Higham16RoundedExecutor.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16RoundedTriangular	NumStability/Algorithms/Sylvester/Higham16RoundedTriangular.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16Spectrum	NumStability/Algorithms/Sylvester/Higham16Spectrum.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16SpectrumMinimizers	NumStability/Algorithms/Sylvester/Higham16SpectrumMinimizers.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16VecNorm	NumStability/Algorithms/Sylvester/Higham16VecNorm.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.Higham16VecPermutationNotes	NumStability/Algorithms/Sylvester/Higham16VecPermutationNotes.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.SylvesterBackward	NumStability/Algorithms/Sylvester/SylvesterBackward.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.SylvesterPerturbation	NumStability/Algorithms/Sylvester/SylvesterPerturbation.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.Sylvester.SylvesterSpec	NumStability/Algorithms/Sylvester/SylvesterSpec.lean	R06	codex-lane	immutable-C0008-inventory	unreviewed	preserved-ch16	family_migration_required
NumStability.Algorithms.TestMatrices.Higham28	NumStability/Algorithms/TestMatrices/Higham28.lean	R09	claude-lane	immutable-C0008-inventory	mixed_pending_split	NumStability.Analysis.TestMatrices + NumStability.Source.Higham.Chapter28	frozen_proposal_requires_refresh
NumStability.Algorithms.TestMatrices.Higham28Asymptotics	NumStability/Algorithms/TestMatrices/Higham28Asymptotics.lean	R09	claude-lane	immutable-C0008-inventory	source	NumStability.Source.Higham.Chapter28	frozen_proposal_requires_refresh
NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability/Algorithms/TestMatrices/Higham28Cauchy.lean	R09	claude-lane	immutable-C0008-inventory	reusable	NumStability.Analysis.TestMatrices	frozen_proposal_requires_refresh
NumStability.Algorithms.TestMatrices.Higham28Companion	NumStability/Algorithms/TestMatrices/Higham28Companion.lean	R09	claude-lane	immutable-C0008-inventory	reusable	NumStability.Analysis.TestMatrices	frozen_proposal_requires_refresh
