declaration	kind	visibility	historical_owner	destination_module	tier	disposition	command_root	start_line
NumStability.BlockDiagonalSourceSVDTailCertificate.of_squareSVD	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate.of_squareSVD	16431
NumStability.BlockDiagonalSourceSVDTailCertificate.of_squareSVD_head_pos	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate.of_squareSVD_head_pos	16552
NumStability.BlockDiagonalSourceSVDTailCertificate.rec	recursor	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate	14022
NumStability.BlockDiagonalSourceSVDTailCertificate.recOn	definition	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate	14022
NumStability.BlockDiagonalSourceSVDTailCertificate.right_columns	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate	14022
NumStability.BlockDiagonalSourceSVDTailCertificate.right_rows	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate	14022
NumStability.BlockDiagonalSourceSVDTailCertificate.sourceTailLeftOrthogonal	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate.sourceTailLeftOrthogonal	14125
NumStability.BlockDiagonalSourceSVDTailCertificate.split	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate	14022
NumStability.BlockDiagonalSourceSVDTailCertificate.tail_frobNorm_eq_sigma	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate.tail_frobNorm_eq_sigma	14159
NumStability.BlockDiagonalSourceSVDTailCertificate.tail_lowRankResidual_eq_sigma	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate.tail_lowRankResidual_eq_sigma	14180
NumStability.BlockDiagonalSourceSVDTailCertificate.to_diagonalSourceSVDTailCertificate	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Source.DrineasMahoney.RandNLA2016.Equation09.LowRankApproximation.Endpoints	source	relocated	NumStability.BlockDiagonalSourceSVDTailCertificate.to_diagonalSourceSVDTailCertificate	14084
NumStability.ColumnSketchGeneralizedInverse	inductive	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchGeneralizedInverse	8677
NumStability.ColumnSketchGeneralizedInverse.casesOn	definition	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchGeneralizedInverse	8677
NumStability.ColumnSketchGeneralizedInverse.mk	constructor	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchGeneralizedInverse	8677
NumStability.ColumnSketchGeneralizedInverse.rec	recursor	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchGeneralizedInverse	8677
NumStability.ColumnSketchGeneralizedInverse.recOn	definition	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchGeneralizedInverse	8677
NumStability.ColumnSketchGeneralizedInverse.reproducesSketch	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchGeneralizedInverse	8677
NumStability.ColumnSketchGramInverseCertificate	inductive	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchGramInverseCertificate	4299
NumStability.ColumnSketchGramInverseCertificate.casesOn	definition	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchGramInverseCertificate	4299
NumStability.ColumnSketchGramInverseCertificate.inverse	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchGramInverseCertificate	4299
NumStability.ColumnSketchGramInverseCertificate.mk	constructor	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchGramInverseCertificate	4299
NumStability.ColumnSketchGramInverseCertificate.rec	recursor	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchGramInverseCertificate	4299
NumStability.ColumnSketchGramInverseCertificate.recOn	definition	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchGramInverseCertificate	4299
NumStability.ColumnSketchGramInverseCertificate.symmetric_inverse	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchGramInverseCertificate	4299
NumStability.ColumnSketchHeadFactorization	inductive	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchHeadFactorization	3127
NumStability.ColumnSketchHeadFactorization.casesOn	definition	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchHeadFactorization	3127
NumStability.ColumnSketchHeadFactorization.coeff	definition	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchHeadFactorization	3127
NumStability.ColumnSketchHeadFactorization.ctorIdx	definition	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchHeadFactorization	3127
NumStability.ColumnSketchHeadFactorization.factorization	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchHeadFactorization	3127
NumStability.ColumnSketchHeadFactorization.mk	constructor	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchHeadFactorization	3127
NumStability.ColumnSketchHeadFactorization.mk.inj	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchHeadFactorization	3127
NumStability.ColumnSketchHeadFactorization.mk.injEq	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchHeadFactorization	3127
NumStability.ColumnSketchHeadFactorization.mk.noConfusion	definition	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchHeadFactorization	3127
NumStability.ColumnSketchHeadFactorization.mk.sizeOf_spec	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchHeadFactorization	3127
NumStability.ColumnSketchHeadFactorization.noConfusion	definition	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchHeadFactorization	3127
NumStability.ColumnSketchHeadFactorization.noConfusionType	definition	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchHeadFactorization	3127
NumStability.ColumnSketchHeadFactorization.rec	recursor	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchHeadFactorization	3127
NumStability.ColumnSketchHeadFactorization.recOn	definition	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchHeadFactorization	3127
NumStability.ColumnSketchMoorePenroseCertificate	inductive	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchMoorePenroseCertificate	8996
NumStability.ColumnSketchMoorePenroseCertificate.casesOn	definition	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchMoorePenroseCertificate	8996
NumStability.ColumnSketchMoorePenroseCertificate.coefficient_reproduction	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchMoorePenroseCertificate	8996
NumStability.ColumnSketchMoorePenroseCertificate.left_symmetric	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchMoorePenroseCertificate	8996
NumStability.ColumnSketchMoorePenroseCertificate.mk	constructor	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchMoorePenroseCertificate	8996
NumStability.ColumnSketchMoorePenroseCertificate.rec	recursor	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchMoorePenroseCertificate	8996
NumStability.ColumnSketchMoorePenroseCertificate.recOn	definition	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchMoorePenroseCertificate	8996
NumStability.ColumnSketchMoorePenroseCertificate.right_symmetric	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchMoorePenroseCertificate	8996
NumStability.ColumnSketchMoorePenroseCertificate.sketch_reproduction	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchMoorePenroseCertificate	8996
NumStability.ColumnSketchMoorePenroseCertificate.to_generalizedInverse	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchMoorePenroseCertificate.to_generalizedInverse	9018
NumStability.ColumnSketchMoorePenroseCertificate.to_orthogonalProjectorCertificate	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchMoorePenroseCertificate.to_orthogonalProjectorCertificate	9027
NumStability.ColumnSketchOrthogonalProjectorCertificate	inductive	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchOrthogonalProjectorCertificate	8822
NumStability.ColumnSketchOrthogonalProjectorCertificate.casesOn	definition	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchOrthogonalProjectorCertificate	8822
NumStability.ColumnSketchOrthogonalProjectorCertificate.generalizedInverse	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchOrthogonalProjectorCertificate	8822
NumStability.ColumnSketchOrthogonalProjectorCertificate.mk	constructor	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchOrthogonalProjectorCertificate	8822
NumStability.ColumnSketchOrthogonalProjectorCertificate.rec	recursor	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchOrthogonalProjectorCertificate	8822
NumStability.ColumnSketchOrthogonalProjectorCertificate.recOn	definition	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchOrthogonalProjectorCertificate	8822
NumStability.ColumnSketchOrthogonalProjectorCertificate.symmetric	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchOrthogonalProjectorCertificate	8822
NumStability.ColumnSketchThinFactorCertificate	inductive	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchThinFactorCertificate	4325
NumStability.ColumnSketchThinFactorCertificate.casesOn	definition	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchThinFactorCertificate	4325
NumStability.ColumnSketchThinFactorCertificate.det_factor_ne_zero	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchThinFactorCertificate	4325
NumStability.ColumnSketchThinFactorCertificate.factorization	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchThinFactorCertificate	4325
NumStability.ColumnSketchThinFactorCertificate.mk	constructor	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchThinFactorCertificate	4325
NumStability.ColumnSketchThinFactorCertificate.orthonormal_columns	theorem	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchThinFactorCertificate	4325
NumStability.ColumnSketchThinFactorCertificate.rec	recursor	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchThinFactorCertificate	4325
NumStability.ColumnSketchThinFactorCertificate.recOn	definition	public	NumStability.Algorithms.RandNLA.LowRankApprox	NumStability.Algorithms.RandomizedLinearAlgebra.LowRankApproximation.ColumnSketches.Core	reusable	relocated	NumStability.ColumnSketchThinFactorCertificate	4325
NumStability.ColumnsAndRhsInColumnSpace	definition	public	NumStability.Algorithms.RandNLA.LeastSquaresSketch	NumStability.Algorithms.RandomizedLinearAlgebra.LeastSquaresSketching.Objectives.Core	reusable	relocated	NumStability.ColumnsAndRhsInColumnSpace	687
NumStability.ComputedMatrix	inductive	public	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.ExactTransforms.Core	reusable	relocated	NumStability.ComputedMatrix	6935
NumStability.ComputedMatrix.abs_error	definition	public	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.ExactTransforms.Core	reusable	relocated	NumStability.ComputedMatrix	6935
NumStability.ComputedMatrix.abs_error_bound	theorem	public	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.ExactTransforms.Core	reusable	relocated	NumStability.ComputedMatrix	6935
NumStability.ComputedMatrix.abs_error_nonneg	theorem	public	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.ExactTransforms.Core	reusable	relocated	NumStability.ComputedMatrix	6935
NumStability.ComputedMatrix.casesOn	definition	public	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.ExactTransforms.Core	reusable	relocated	NumStability.ComputedMatrix	6935
NumStability.ComputedMatrix.ctorIdx	definition	public	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.ExactTransforms.Core	reusable	relocated	NumStability.ComputedMatrix	6935
NumStability.ComputedMatrix.diag	definition	public	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.ExactTransforms.Core	reusable	relocated	NumStability.ComputedMatrix.diag	8348
NumStability.ComputedMatrix.diag_abs_error	theorem	public	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.ExactTransforms.Core	reusable	relocated	NumStability.ComputedMatrix.diag_abs_error	8371
NumStability.ComputedMatrix.diag_matrix	theorem	public	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.ExactTransforms.Core	reusable	relocated	NumStability.ComputedMatrix.diag_matrix	8367
NumStability.ComputedMatrix.entry_abs_error_bound	theorem	public	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.ExactTransforms.Core	reusable	relocated	NumStability.ComputedMatrix.entry_abs_error_bound	6951
NumStability.ComputedMatrix.exact	definition	public	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.ExactTransforms.Core	reusable	relocated	NumStability.ComputedMatrix.exact	6956
NumStability.ComputedMatrix.exact_abs_error	theorem	public	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.ExactTransforms.Core	reusable	relocated	NumStability.ComputedMatrix.exact_abs_error	6974
NumStability.ComputedMatrix.exact_matrix	theorem	public	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.ExactTransforms.Core	reusable	relocated	NumStability.ComputedMatrix.exact_matrix	6970
NumStability.ComputedMatrix.flAddZeroRight	definition	public	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.ExactTransforms.Core	reusable	relocated	NumStability.ComputedMatrix.flAddZeroRight	7188
NumStability.ComputedMatrix.flAddZeroRight_abs_error	theorem	public	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.ExactTransforms.Core	reusable	relocated	NumStability.ComputedMatrix.flAddZeroRight_abs_error	7221
NumStability.ComputedMatrix.flAddZeroRight_entry_error_bound	theorem	public	NumStability.Algorithms.RandNLA.Preconditioning	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.ExactTransforms.Core	reusable	relocated	NumStability.ComputedMatrix.flAddZeroRight_entry_error_bound	7225
