module	role	import_order	lean_import_line	provenance
NumStability.Algorithms.Cholesky.CholeskyFl	retained_owner	3	import Mathlib.Data.Real.Basic	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyFl	retained_owner	4	import Mathlib.Data.Real.Sqrt	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyFl	retained_owner	5	import Mathlib.LinearAlgebra.Matrix.Block	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyFl	retained_owner	6	import Mathlib.LinearAlgebra.Matrix.NonsingularInverse	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyFl	retained_owner	7	import Mathlib.Tactic.FieldSimp	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyFl	retained_owner	8	import Mathlib.Tactic.Linarith	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyFl	retained_owner	9	import Mathlib.Tactic.Ring	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyFl	retained_owner	10	import NumStability.Algorithms.Cholesky.CholeskyDemmel	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyFl	retained_owner	11	import NumStability.Algorithms.LinearSystems.Cholesky.RoundedFactorization.Basic	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyFl	retained_owner	12	import NumStability.Analysis.Rounding	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyFl	retained_owner	13	import NumStability.Analysis.SubtractionFold	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyFl	retained_owner	14	import NumStability.Analysis.Summation.ErrorBounds	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyFl	retained_owner	15	import NumStability.FloatingPoint.Model	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyNonsym	retained_owner	1	import Mathlib.Algebra.BigOperators.Group.Finset.Basic	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyNonsym	retained_owner	2	import Mathlib.Algebra.Order.BigOperators.Group.Finset	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyNonsym	retained_owner	3	import Mathlib.Data.Real.Basic	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyNonsym	retained_owner	4	import Mathlib.Tactic.Linarith	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyNonsym	retained_owner	5	import Mathlib.Tactic.Ring	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyNonsym	retained_owner	6	import NumStability.Algorithms.LU.GaussianElimination	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyNonsym	retained_owner	7	import NumStability.Algorithms.LU.GrowthFactor	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyNonsym	retained_owner	8	import NumStability.Algorithms.LinearSystems.LU.NonsymmetricPositiveDefinite.Basic	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyNonsym	retained_owner	9	import NumStability.Analysis.Rounding	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyNonsym	retained_owner	10	import NumStability.FloatingPoint.Model	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	1	import Mathlib.Algebra.BigOperators.Field	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	2	import Mathlib.Algebra.BigOperators.Group.Finset.Basic	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	3	import Mathlib.Algebra.Order.BigOperators.Group.Finset	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	4	import Mathlib.Data.Real.Basic	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	5	import Mathlib.Data.Real.Sqrt	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	6	import Mathlib.LinearAlgebra.Matrix.Block	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	7	import Mathlib.LinearAlgebra.Matrix.NonsingularInverse	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	8	import Mathlib.LinearAlgebra.Matrix.Rank	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	9	import Mathlib.Tactic.FieldSimp	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	10	import Mathlib.Tactic.Linarith	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	11	import Mathlib.Tactic.Ring	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	12	import NumStability.Algorithms.Cholesky.CholeskySpec	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	13	import NumStability.Algorithms.LU.GaussianElimination	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	14	import NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.Basic	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	15	import NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.PivotedFactorization.Existence	produced_destination
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	16	import NumStability.Analysis.Rounding	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	17	import NumStability.FloatingPoint.Model	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	18	import NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.CompletePivotingBound	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	19	import NumStability.Source.Higham.Chapter10.Problem01.PositiveSemidefiniteEntries.EntryBounds.Results	produced_destination
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	20	import NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.ConstructiveFactorization.Existence	produced_destination
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	21	import NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.Existence	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	22	import NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.QuadraticFormBounds.WeightedNorm	produced_destination
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	23	import NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.SchurComplement	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	24	import NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.Termination	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	25	import NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.TrailingTermination.Bound	produced_destination
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	26	import NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.WNormBound	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	27	import NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.PsdErrorAnalysis	c0004_direct
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	28	import NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.RoundedErrorAnalysis.Bounds	produced_destination
NumStability.Algorithms.Cholesky.CholeskySpec	retained_owner	1	import Mathlib.Algebra.BigOperators.Field	c0004_direct
NumStability.Algorithms.Cholesky.CholeskySpec	retained_owner	2	import Mathlib.Algebra.BigOperators.Group.Finset.Basic	c0004_direct
NumStability.Algorithms.Cholesky.CholeskySpec	retained_owner	3	import Mathlib.Algebra.Order.BigOperators.Group.Finset	c0004_direct
NumStability.Algorithms.Cholesky.CholeskySpec	retained_owner	4	import Mathlib.Data.Real.Basic	c0004_direct
NumStability.Algorithms.Cholesky.CholeskySpec	retained_owner	5	import Mathlib.Data.Real.Sqrt	c0004_direct
NumStability.Algorithms.Cholesky.CholeskySpec	retained_owner	6	import Mathlib.Tactic.Linarith	c0004_direct
NumStability.Algorithms.Cholesky.CholeskySpec	retained_owner	7	import Mathlib.Tactic.Ring	c0004_direct
NumStability.Algorithms.Cholesky.CholeskySpec	retained_owner	8	import NumStability.Algorithms.LU.GaussianElimination	c0004_direct
NumStability.Algorithms.Cholesky.CholeskySpec	retained_owner	9	import NumStability.Algorithms.LU.GrowthFactor	c0004_direct
NumStability.Algorithms.Cholesky.CholeskySpec	retained_owner	10	import NumStability.Algorithms.LinearSystems.Cholesky.Factorization.Spec	c0004_direct
NumStability.Algorithms.Cholesky.CholeskySpec	retained_owner	11	import NumStability.Analysis.Rounding	c0004_direct
NumStability.Algorithms.Cholesky.CholeskySpec	retained_owner	12	import NumStability.FloatingPoint.Model	c0004_direct
NumStability.Algorithms.Cholesky.Higham1014Equation1022	compatibility	1	import NumStability.Algorithms.Cholesky.Higham1014SourceError	c0004_direct
NumStability.Algorithms.Cholesky.Higham1014Equation1022	compatibility	2	import NumStability.Algorithms.HighamChapter10	c0004_direct
NumStability.Algorithms.Cholesky.Higham1014Equation1022	compatibility	3	import NumStability.Analysis.FirstOrder.AsymptoticFamilies	c0004_direct
NumStability.Algorithms.Cholesky.Higham1014Equation1022	compatibility	4	import NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.Equation22	c0004_direct
NumStability.Algorithms.Cholesky.Higham1014Equation1022	compatibility	5	import NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.SchurPerturbation.Family	produced_destination
NumStability.Algorithms.Cholesky.Higham1014SourceError	compatibility	1	import NumStability.Source.Higham.Chapter09.DoolittleClosure	c0004_direct
NumStability.Algorithms.Cholesky.Higham1014SourceError	compatibility	2	import NumStability.Source.Higham.Chapter10.Theorem07	c0004_direct
NumStability.Algorithms.Cholesky.Higham1014SourceError	compatibility	3	import NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.RankSensitiveError.Bounds	produced_destination
NumStability.Algorithms.Cholesky.Higham1014SourceError	compatibility	4	import NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.SourceError	c0004_direct
NumStability.Algorithms.Cholesky.Higham1014SourceError	compatibility	5	import NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.SourceSuccess	c0004_direct
NumStability.Algorithms.Cholesky.Higham1029Source	compatibility	1	import NumStability.Algorithms.HighamChapter10	c0004_direct
NumStability.Algorithms.Cholesky.Higham1029Source	compatibility	2	import NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart.Equation29	c0004_direct
NumStability.Algorithms.Cholesky.Higham1029Source	compatibility	3	import NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart.LUGrowth.Equation29	produced_destination
NumStability.Algorithms.Cholesky.HighamMathiasSource	compatibility	1	import NumStability.Algorithms.Cholesky.Higham1029Source	c0004_direct
NumStability.Algorithms.Cholesky.HighamMathiasSource	compatibility	2	import NumStability.Source.Higham.Chapter09.DoolittleClosure	c0004_direct
NumStability.Algorithms.Cholesky.HighamMathiasSource	compatibility	3	import NumStability.Source.Higham.Chapter10.Equation29.Mathias.FirstBreakdown	c0004_direct
NumStability.Algorithms.Cholesky.HighamMathiasSource	compatibility	4	import NumStability.Source.Higham.Chapter10.Equation29.Mathias.RoundedSchur.Bounds	produced_destination
NumStability.Algorithms.Cholesky.HighamMathiasSource	compatibility	5	import NumStability.Source.Higham.Chapter10.Equation29.Mathias.SourceIngredients	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	1	import Mathlib.Data.Complex.Basic	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	2	import NumStability.Algorithms.Cholesky.CholeskyDemmel	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	3	import NumStability.Algorithms.Cholesky.CholeskyFl	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	4	import NumStability.Algorithms.Cholesky.CholeskyNonsym	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	5	import NumStability.Algorithms.Cholesky.CholeskyPSD	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	6	import NumStability.Algorithms.Cholesky.CholeskySpec	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	7	import NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.Certificates	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	8	import NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	produced_destination
NumStability.Algorithms.HighamChapter10	compatibility	9	import NumStability.Algorithms.LinearSystems.Cholesky.Perturbation.Basic	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	10	import NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.KahanMatrix	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	11	import NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.KahanTelescope.Identity	produced_destination
NumStability.Algorithms.HighamChapter10	compatibility	12	import NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.ScaledStage	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	13	import NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.StageEmbedding.InteriorMass	produced_destination
NumStability.Algorithms.HighamChapter10	compatibility	14	import NumStability.Analysis.MatrixNorms.EntrywiseAbsolute.Basic	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	15	import NumStability.Analysis.MatrixNorms.SpectralExtrema.Basic	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	16	import NumStability.Analysis.MatrixNorms.SpectralExtrema.PrincipalSubmatrices.Bounds	produced_destination
NumStability.Algorithms.HighamChapter10	compatibility	17	import NumStability.Analysis.MatrixSpectral	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	18	import NumStability.Source.Higham.Chapter09.Problems	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	19	import NumStability.Source.Higham.Chapter09.Section01	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	20	import NumStability.Source.Higham.Chapter09.Section02	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	21	import NumStability.Source.Higham.Chapter09.Section03	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	22	import NumStability.Source.Higham.Chapter09.Section04	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	23	import NumStability.Source.Higham.Chapter09.Section05	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	24	import NumStability.Source.Higham.Chapter09.Section06	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	25	import NumStability.Source.Higham.Chapter09.Section08	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	26	import NumStability.Source.Higham.Chapter09.Section10	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	27	import NumStability.Source.Higham.Chapter09.Section11	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	28	import NumStability.Source.Higham.Chapter10.Equation07.AbsoluteFactorNorm.Endpoints	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	29	import NumStability.Source.Higham.Chapter10.Equation29.Mathias.Endpoints	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	30	import NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.Endpoints	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	31	import NumStability.Source.Higham.Chapter10.Lemma11.PivotSequenceStability.Endpoints	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	32	import NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.Endpoints	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	33	import NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.UnboundedGrowth.Construction	produced_destination
NumStability.Algorithms.HighamChapter10	compatibility	34	import NumStability.Source.Higham.Chapter10.Problem01.PositiveSemidefiniteEntries.Basic	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	35	import NumStability.Source.Higham.Chapter10.Problem04.UnpivotedGrowth.Basic	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	36	import NumStability.Source.Higham.Chapter10.Problem04.UnpivotedGrowth.PositivePivots.Bounds	produced_destination
NumStability.Algorithms.HighamChapter10	compatibility	37	import NumStability.Source.Higham.Chapter10.Problem08.LeadingMinorsCounterexample.Basic	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	38	import NumStability.Source.Higham.Chapter10.Section01.Factorization.Basic	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	39	import NumStability.Source.Higham.Chapter10.Section01.Factorization.ExistenceUniqueness.Results	produced_destination
NumStability.Algorithms.HighamChapter10	compatibility	40	import NumStability.Source.Higham.Chapter10.Section02.ErrorAnalysis.Basic	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	41	import NumStability.Source.Higham.Chapter10.Section02.ErrorAnalysis.FactorizationAndSolve.Bounds	produced_destination
NumStability.Algorithms.HighamChapter10	compatibility	42	import NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.Endpoints	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	43	import NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.PivotingAndScaling.Results	produced_destination
NumStability.Algorithms.HighamChapter10	compatibility	44	import NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart.Endpoints	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	45	import NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart.SchurStages.Bounds	produced_destination
NumStability.Algorithms.HighamChapter10	compatibility	46	import NumStability.Source.Higham.Chapter10.Theorem06.RoundedCholesky.Endpoints	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	47	import NumStability.Source.Higham.Chapter10.Theorem07.FailureVacuity.Endpoints	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	48	import NumStability.Source.Higham.Chapter10.Theorem07.SuccessThreshold.Factorization	produced_destination
NumStability.Algorithms.HighamChapter10	compatibility	49	import NumStability.Source.Higham.Chapter10.Theorem08.ComponentwisePerturbation.Endpoints	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	50	import NumStability.Source.Higham.Chapter10.Theorem08.NormwiseDiscrepancy.Endpoints	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	51	import NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.Endpoints	c0004_direct
NumStability.Algorithms.HighamChapter10	compatibility	52	import NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.RoundedErrorAnalysis.Bounds	produced_destination
NumStability.Algorithms.HighamChapter10	compatibility	53	import NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.SuccessfulRun.StageBounds	produced_destination
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	produced_destination	1	import Mathlib.Algebra.BigOperators.Field	c0004_expanded
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	produced_destination	2	import Mathlib.Algebra.BigOperators.Group.Finset.Basic	c0004_expanded
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	produced_destination	3	import Mathlib.Algebra.Order.BigOperators.Group.Finset	c0004_expanded
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	produced_destination	4	import Mathlib.Data.Complex.Basic	c0004_direct
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	produced_destination	5	import Mathlib.Data.Real.Basic	c0004_expanded
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	produced_destination	6	import Mathlib.Data.Real.Sqrt	c0004_expanded
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	produced_destination	7	import Mathlib.LinearAlgebra.Matrix.Block	c0004_expanded
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	produced_destination	8	import Mathlib.LinearAlgebra.Matrix.NonsingularInverse	c0004_expanded
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	produced_destination	9	import Mathlib.LinearAlgebra.Matrix.Rank	c0004_expanded
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	produced_destination	10	import Mathlib.Tactic.FieldSimp	c0004_expanded
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	produced_destination	11	import Mathlib.Tactic.Linarith	c0004_expanded
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	produced_destination	12	import Mathlib.Tactic.Ring	c0004_expanded
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	produced_destination	13	import NumStability.Algorithms.Cholesky.CholeskyDemmel	c0004_direct
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	produced_destination	14	import NumStability.Algorithms.Cholesky.CholeskyFl	c0004_direct+route_dag
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	produced_destination	15	import NumStability.Algorithms.Cholesky.CholeskyNonsym	c0004_direct
