module	path	base_blob_oid	current_tier	debt_flags	phase_scope	lane_id	wave_id	planned_actions	rationale
NumStability.Algorithms.Ch14BlockTriInverse	NumStability/Algorithms/Ch14BlockTriInverse.lean	3b2bba1096323aba906f11cb64fddb99db26c308	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;document;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14Cor146UniformInverseBridge	NumStability/Algorithms/Ch14Cor146UniformInverseBridge.lean	7da0dc2c4fb85e6372df2ffe47dfff10d67e153e	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	NumStability/Algorithms/Ch14Cor147FinalDivisionFamilyClosure.lean	6ef6832fa0acecc101d5578250c972092d3f51fb	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14Cor147SourceDomainConstructor	NumStability/Algorithms/Ch14Cor147SourceDomainConstructor.lean	cae8b6de828b7dd960bfd0b2511031f6896c56f9	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;document;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14Corollary146Closure	NumStability/Algorithms/Ch14Corollary146Closure.lean	4d348511cbb1ff0ff5e3bed1cdac6e39431c2ed0	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14Corollary146Concrete	NumStability/Algorithms/Ch14Corollary146Concrete.lean	ddc7b8cc12b52c74fea350b3304e387e59f6cf61	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14Corollary146SourceClosure	NumStability/Algorithms/Ch14Corollary146SourceClosure.lean	70bff54b27ca1bc9d8f635f67a2d24dde1127a9d	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14Corollary147	NumStability/Algorithms/Ch14Corollary147.lean	1eb6dc04cf29be06e8ae7982f916af7553a9f08f	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14Corollary147Closure	NumStability/Algorithms/Ch14Corollary147Closure.lean	eb2e5ab8f9de7f34b17a1d2b4c32c84c6408fbfa	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14Corollary147Concrete	NumStability/Algorithms/Ch14Corollary147Concrete.lean	7ca069310b7970d109606c12afd9c29b3f1700d1	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14Corollary147SourceClosure	NumStability/Algorithms/Ch14Corollary147SourceClosure.lean	fda89b585e333201e1893f42e709415a92be5b3f	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14Corollary147WeakFamily	NumStability/Algorithms/Ch14Corollary147WeakFamily.lean	ab57e274df2e4e458c4ecfe12232d5f41406c127	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14ForwardErrorEndpoint	NumStability/Algorithms/Ch14ForwardErrorEndpoint.lean	084bd7e5ed2a5e17793c1c8b4a8bff6ac9cf53eb	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14GJEActualDoolittleAdapter	NumStability/Algorithms/Ch14GJEActualDoolittleAdapter.lean	cf0ffb1a229d49c5478332180fef931f8f462d26	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;document;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14GJEAsymptoticFamilies	NumStability/Algorithms/Ch14GJEAsymptoticFamilies.lean	4229247dada4034e7de675852f625c24c04585b9	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14GJEFinalDivisionClosure	NumStability/Algorithms/Ch14GJEFinalDivisionClosure.lean	98dfd2e5bd566d8b656cbd78244899e61d6e5366	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14GJEOperationalBridge	NumStability/Algorithms/Ch14GJEOperationalBridge.lean	2ab2bc8b0674aab2862570abe7fc22fa113661a8	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	NumStability/Algorithms/Ch14GJEPrintedEnvelopeClosure.lean	aeaec94bd720699d67928780b96c60984edc05a4	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14GJESourceAccumulationBridge	NumStability/Algorithms/Ch14GJESourceAccumulationBridge.lean	677e2ec0f565e616e9d809a84f8e8b49f9a0ebe8	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;document;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14GJETheorem145SourceClosure	NumStability/Algorithms/Ch14GJETheorem145SourceClosure.lean	b7554d8c0364a1d2106971fe681600c2bd44c252	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14GaussJordanAccumulation	NumStability/Algorithms/Ch14GaussJordanAccumulation.lean	f2c16790f645c66c2bda59e69d7189dc9826cccb	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;document;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14GaussJordanQConstruction	NumStability/Algorithms/Ch14GaussJordanQConstruction.lean	0424ff9e0d1f83a34d1581ec39516fa99fb7a8dd	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14GaussJordanSPDCorollary	NumStability/Algorithms/Ch14GaussJordanSPDCorollary.lean	ae67321f9896ebc440f9e1258d9fb501e4a26577	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14GaussJordanSourceClosure	NumStability/Algorithms/Ch14GaussJordanSourceClosure.lean	d9161b8eab0e6cedb007b60f5f512b93720b890d	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14GaussJordanStep	NumStability/Algorithms/Ch14GaussJordanStep.lean	add38979e062c2cd5f3ce8295196491762ef6595	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;document;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14HymanDeterminant	NumStability/Algorithms/Ch14HymanDeterminant.lean	3ffdb93411c4a12e354db5845105952125d16642	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Ch14Method1BWhole	NumStability/Algorithms/Ch14Method1BWhole.lean	66cc390e7e436c3977080b4a0b950e9ee096d359	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;document;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14Method2C	NumStability/Algorithms/Ch14Method2C.lean	b7bf2e1ec94c931a24d3771355d88977df6c0ee0	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;document;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14Method2CWhole	NumStability/Algorithms/Ch14Method2CWhole.lean	8a73bc68521936deee00849db86ae953e31f403a	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;document;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14Method2Loop	NumStability/Algorithms/Ch14Method2Loop.lean	b30941323e92820c492319020d4b0006392f701b	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;document;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14MethodDLeftResidual	NumStability/Algorithms/Ch14MethodDLeftResidual.lean	ae7317af4c92e6120ce24a57c036c9c732e7af5b	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;document;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14MethodDProductDischarge	NumStability/Algorithms/Ch14MethodDProductDischarge.lean	c143b4131d62e57a5d104ab67bfaa413a2b05b2e	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;document;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14MethodDUpperCertificate	NumStability/Algorithms/Ch14MethodDUpperCertificate.lean	77134fb8ec4ab5e83b059bd977076222b860a7ff	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;document;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14MethodsBC	NumStability/Algorithms/Ch14MethodsBC.lean	d78ac3cccf718224c1d489062f99eeb92d1d8e40	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14Problem1413Boundary	NumStability/Algorithms/Ch14Problem1413Boundary.lean	1014932894a3f0f3c783a28d7f1ee8ff0540ae42	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Ch14Problem142	NumStability/Algorithms/Ch14Problem142.lean	b27e95fb653e74045a4067d22ed1032dd42eb3e7	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14Problem142Families	NumStability/Algorithms/Ch14Problem142Families.lean	3ab1d6b2726161719fc7037b4ed4b454ef551f7f	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14Problem142Method2B	NumStability/Algorithms/Ch14Problem142Method2B.lean	a6a1d75d1ca8ba9784fe4ddd706e9d337e873fb7	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14ProductErrorNotation	NumStability/Algorithms/Ch14ProductErrorNotation.lean	dc93b9f72ff81e360b678b7a5f7add47ee928b46	unclassified	noncanonical_modules;unclassified_modules	in_scope	claude-lane	R08	classify;migrate;rename;split	C0008 residual owner assigned exactly once to semantic successor wave R08 (matrix-inversion-ch14).
NumStability.Algorithms.Ch14SchulzIteration	NumStability/Algorithms/Ch14SchulzIteration.lean	181fec6e5026775cd1fe728bbd20bd3365148104	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Ch14SchulzRectangular	NumStability/Algorithms/Ch14SchulzRectangular.lean	4942c530dbff3ade6e60992e433778a0f5528322	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Ch14SchulzSpectralConvergence	NumStability/Algorithms/Ch14SchulzSpectralConvergence.lean	674b0cb189f09b2c838fcc6af19332b1305ebadf	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Ch14SourceCorrections	NumStability/Algorithms/Ch14SourceCorrections.lean	4bd9eff79f12fd596fdccdc035b4135c78a50b1b	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Ch15CondEstimators	NumStability/Algorithms/Ch15CondEstimators.lean	5739f47e31f5aeb4a4dca98ddac852823a6013e9	compatibility	-	already_complete	-	-	-	Accepted at C0001 through M02/R02 immutable delivery and reviewed integration.
NumStability.Algorithms.Ch15DixonClosure	NumStability/Algorithms/Ch15DixonClosure.lean	9303d7336465c2b44a9e447a4a80aa563a39e14a	compatibility	-	already_complete	-	-	-	Accepted at C0001 through M02/R02 immutable delivery and reviewed integration.
NumStability.Algorithms.Ch15DixonProbability	NumStability/Algorithms/Ch15DixonProbability.lean	bfa6913d0f1dfb76a75161993bf6d3446da65c2d	compatibility	-	already_complete	-	-	-	Accepted at C0001 through M02/R02 immutable delivery and reviewed integration.
NumStability.Algorithms.Ch4KahanFiniteFamily	NumStability/Algorithms/Ch4KahanFiniteFamily.lean	ee151ac7461406fde0dd01ae20b3a096e9dea657	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Ch5DerivativeError	NumStability/Algorithms/Ch5DerivativeError.lean	75d6297af02d2442ed7127a61b60ee125e9c8b7f	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Ch5LejaProducer	NumStability/Algorithms/Ch5LejaProducer.lean	11f741717aaf40ce198d24c5d8401966ec001c28	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Ch5NewtonForm	NumStability/Algorithms/Ch5NewtonForm.lean	c5958af41e70cafead9969089bd6feca99394c7a	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Ch5SourceClosure	NumStability/Algorithms/Ch5SourceClosure.lean	e3ffb9458f3e3296fda0c46e3b16ca6bbb4672a6	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Chapter06Lemma66	NumStability/Algorithms/Chapter06Lemma66.lean	1c1c0267b30cf6cb26ddd3a0a90d82c7c999bd10	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Chapter14Problem1415Weyl	NumStability/Algorithms/Chapter14Problem1415Weyl.lean	bd5a86d86518c12f9fa352d1525d210367321a1e	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Chapter15CondEst	NumStability/Algorithms/Chapter15CondEst.lean	3df3a46b804c7532c906535450284ade4a690ad2	compatibility	-	already_complete	-	-	-	Accepted at C0001 through M02/R02 immutable delivery and reviewed integration.
NumStability.Algorithms.Cholesky.Aasen118ReducedCh11Closure	NumStability/Algorithms/Cholesky/Aasen118ReducedCh11Closure.lean	cd5637356b61a5e3ec2bfdc0bcb7620e9e280625	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.AasenAdjacentPivotOperationalMiddleCh11	NumStability/Algorithms/Cholesky/AasenAdjacentPivotOperationalMiddleCh11.lean	480bff3197fc88736c0f406246f854c88a651745	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.AasenAdjacentPivotResidualDomainCh11Discrepancy	NumStability/Algorithms/Cholesky/AasenAdjacentPivotResidualDomainCh11Discrepancy.lean	85f8d7d612821d18bf1e6b36d3ae8a9f28c6af2f	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.AasenAdjacentPivotSourceResidualCh11Closure	NumStability/Algorithms/Cholesky/AasenAdjacentPivotSourceResidualCh11Closure.lean	4c4df4fb486028ae11b5ab5d5ad8321765202e88	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagExecutorCh11Closure	NumStability/Algorithms/Cholesky/AasenAdjacentPivotTridiagExecutorCh11Closure.lean	325e042711be98c97bb8a33f8851b0e6ae1712f2	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.AasenAdjacentPivotTridiagForwardCounterexampleCh11	NumStability/Algorithms/Cholesky/AasenAdjacentPivotTridiagForwardCounterexampleCh11.lean	630bc0d75dbc523ef13ee2b0202494ceb678be25	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.AasenCoupledFpCh11Closure	NumStability/Algorithms/Cholesky/AasenCoupledFpCh11Closure.lean	305edd4d91df87104997809a55c0c9ab8fb4de69	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.AasenDirect118Ch11Closure	NumStability/Algorithms/Cholesky/AasenDirect118Ch11Closure.lean	ce0595284de02fbc999902b41685dc7f74389d54	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.AasenDirectTridiagGEPPSolveCh11Closure	NumStability/Algorithms/Cholesky/AasenDirectTridiagGEPPSolveCh11Closure.lean	ae0a7e3a77306bfc683a45641e757392b7605ed3	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.AasenFactorNormCh11Closure	NumStability/Algorithms/Cholesky/AasenFactorNormCh11Closure.lean	ef2716166471cf0d88204b72d092d74ffa850172	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.AasenFactorResidualCh11Closure	NumStability/Algorithms/Cholesky/AasenFactorResidualCh11Closure.lean	cec0c9ab925315bc6fb009fd84d251c95a4fdfb2	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.AasenGrowthCh11Closure	NumStability/Algorithms/Cholesky/AasenGrowthCh11Closure.lean	6e4d20bd210c354d5e63ad99ed9dd98f17cf4817	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.AasenMiddleGEPPCh11Counterexample	NumStability/Algorithms/Cholesky/AasenMiddleGEPPCh11Counterexample.lean	5f7cf8a406b0e76fd028dba8843f15157b93861e	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.AasenOriginalCoordinateCorrectionCh11	NumStability/Algorithms/Cholesky/AasenOriginalCoordinateCorrectionCh11.lean	e26bca51a5bc1e10125d13d9de4bee515111b80d	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.AasenPermutationSourceCorrectionCh11	NumStability/Algorithms/Cholesky/AasenPermutationSourceCorrectionCh11.lean	81a8057c8dc01e2ee5305cf3b5f71085d12fd2ea	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.AasenPrintedCoefficientAlgebraCh11Closure	NumStability/Algorithms/Cholesky/AasenPrintedCoefficientAlgebraCh11Closure.lean	4cd31ca0c399060579b1b4ae1f5784bfb00aa21a	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.AasenSourceSharpFactorResidualCh11Closure	NumStability/Algorithms/Cholesky/AasenSourceSharpFactorResidualCh11Closure.lean	bfa9ee6c8b91bfb8e651fe2b8a053f5227077f8f	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.AasenTheorem118ScalarEdgeCh11Discrepancy	NumStability/Algorithms/Cholesky/AasenTheorem118ScalarEdgeCh11Discrepancy.lean	b61c1bf0c556724a8564773df5cf288b2063caa3	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.AasenTridiagGEPPCh11Closure	NumStability/Algorithms/Cholesky/AasenTridiagGEPPCh11Closure.lean	f6b94037b8319d5e3dc23905eeffc4652a2a57d4	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.AasenUnitOuterSolveCh11Closure	NumStability/Algorithms/Cholesky/AasenUnitOuterSolveCh11Closure.lean	24910ff407faa2f7e09e49634c71846e9f812833	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.BlockLDLTAllOneByOnePrintedCh11Closure	NumStability/Algorithms/Cholesky/BlockLDLTAllOneByOnePrintedCh11Closure.lean	98da6966cbc28a8a3ae7cc1f779b77561f35c70f	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.BlockLDLTBunchTridiagonalCh11Closure	NumStability/Algorithms/Cholesky/BlockLDLTBunchTridiagonalCh11Closure.lean	6aac19cd9a2604748bd0523e4cd5c96f75e69fb2	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.BlockLDLTMixedPivotCh11Closure	NumStability/Algorithms/Cholesky/BlockLDLTMixedPivotCh11Closure.lean	4bbcdf402d4d385ac086778d6de6b3d7d47cbd5d	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.BlockLDLTSolveBackwardCh11Closure	NumStability/Algorithms/Cholesky/BlockLDLTSolveBackwardCh11Closure.lean	248b16f5b50beea9e37bbf2298da298268b8c8c1	compatibility	-	already_complete	-	-	-	-
NumStability.Algorithms.Cholesky.BunchKaufmanSolveCh11Closure	NumStability/Algorithms/Cholesky/BunchKaufmanSolveCh11Closure.lean	899a047feb737fa0cfc27c7e0ecfe6fc4f8fc5e0	compatibility	-	already_complete	-	-	-	-
