baseline_owner_module	baseline_declaration_name	visibility	kind	destination_module	expected_candidate_name	retention_action	expected_status
NumStability.Algorithms.StationaryIteration	NumStability.singular_error_split_finite_of_indexOneDrazin_projector	public	theorem	NumStability.Source.Higham.Chapter17.Results.Equation27.SingularErrorSplit	NumStability.singular_error_split_finite_of_indexOneDrazin_projector	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIteration	NumStability.stationaryDrazinFixedProjector_fixed_by_G	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	NumStability.stationaryDrazinFixedProjector_fixed_by_G	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIteration	NumStability.stationaryDrazinFixedProjector_idempotent	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	NumStability.stationaryDrazinFixedProjector_idempotent	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIteration	NumStability.stationaryDrazinFixedProjector_matMulVec_fixed	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	NumStability.stationaryDrazinFixedProjector_matMulVec_fixed	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIteration	NumStability.stationaryDrazinFixedProjector_matPow_fixed	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	NumStability.stationaryDrazinFixedProjector_matPow_fixed	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIteration	NumStability.stationaryDrazinRangeProjector_commutes_with_G	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	NumStability.stationaryDrazinRangeProjector_commutes_with_G	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIteration	NumStability.stationaryDrazinRangeProjector_commutes_with_matPow	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	NumStability.stationaryDrazinRangeProjector_commutes_with_matPow	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIteration	NumStability.stationaryDrazinRangeProjector_matPow_sandwich	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	NumStability.stationaryDrazinRangeProjector_matPow_sandwich	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIteration	NumStability.stationaryDrazinRangeProjector_null_component_fixed	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	NumStability.stationaryDrazinRangeProjector_null_component_fixed	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIteration	NumStability.stationaryDrazin_matPow_vec_split	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	NumStability.stationaryDrazin_matPow_vec_split	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIteration	NumStability.stationaryDrazin_matPow_vec_tendsto_fixedProjector_of_range_tendsto_zero	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	NumStability.stationaryDrazin_matPow_vec_tendsto_fixedProjector_of_range_tendsto_zero	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIteration	_private.NumStability.Algorithms.StationaryIteration.0.NumStability.geom_partial_sum_le	private	theorem	NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds	_private.NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds.0.NumStability.geom_partial_sum_le	approved_private_normalization	present_exactly_once
NumStability.Algorithms.StationaryIteration	_private.NumStability.Algorithms.StationaryIteration.0.NumStability.matMul_matSub_id_left	private	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	_private.NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange.0.NumStability.matMul_matSub_id_left	approved_private_normalization	present_exactly_once
NumStability.Algorithms.StationaryIteration	_private.NumStability.Algorithms.StationaryIteration.0.NumStability.matMul_matSub_id_matSub_id	private	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	_private.NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange.0.NumStability.matMul_matSub_id_matSub_id	approved_private_normalization	present_exactly_once
NumStability.Algorithms.StationaryIteration	_private.NumStability.Algorithms.StationaryIteration.0.NumStability.matMul_matSub_id_right	private	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	_private.NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange.0.NumStability.matMul_matSub_id_right	approved_private_normalization	present_exactly_once
NumStability.Algorithms.StationaryIteration	_private.NumStability.Algorithms.StationaryIteration.0.NumStability.residualSigmaTsum_entry_le_of_real_diagonalization	private	theorem	NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds	_private.NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds.0.NumStability.residualSigmaTsum_entry_le_of_real_diagonalization	approved_private_normalization	present_exactly_once
NumStability.Algorithms.StationaryIteration	_private.NumStability.Algorithms.StationaryIteration.0.NumStability.residual_geometric_partial_le_ratio	private	theorem	NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds	_private.NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds.0.NumStability.residual_geometric_partial_le_ratio	approved_private_normalization	present_exactly_once
NumStability.Algorithms.StationaryIteration	_private.NumStability.Algorithms.StationaryIteration.0.NumStability.residual_term_entry_abs_le_of_real_diagonalization	private	theorem	NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds	_private.NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds.0.NumStability.residual_term_entry_abs_le_of_real_diagonalization	approved_private_normalization	present_exactly_once
NumStability.Algorithms.StationaryIteration	_private.NumStability.Algorithms.StationaryIteration.0.NumStability.singularErrorSourceTerm_term_eq	private	theorem	NumStability.Source.Higham.Chapter17.Results.Equation29.SingularBounds	_private.NumStability.Source.Higham.Chapter17.Results.Equation29.SingularBounds.0.NumStability.singularErrorSourceTerm_term_eq	approved_private_normalization	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.W_mul_bottomProjector	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.W_mul_bottomProjector	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.bottomProjector	public	definition	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.bottomProjector	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.bottomProjector_apply_bottom	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.bottomProjector_apply_bottom	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.bottomProjector_apply_top	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.bottomProjector_apply_top	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.bottomProjector_idempotent	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.bottomProjector_idempotent	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.bottomProjector_matPow_J_comm	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.bottomProjector_matPow_J_comm	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.conjugated_bottomProjector_eq_semiconvergentE	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.conjugated_bottomProjector_eq_semiconvergentE	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.drazinIG	public	definition	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.drazinIG	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.drazinIG_mul_matSub_id_G_eq_semiconvergentE	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.drazinIG_mul_matSub_id_G_eq_semiconvergentE	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.drazinIG_spec	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.drazinIG_spec	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.eq_17_23_block	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.eq_17_23_block	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.eq_17_25_limit	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.eq_17_25_limit	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.eq_17_26_stationary_limit	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.eq_17_26_stationary_limit	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.eq_17_30_block	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.eq_17_30_block	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.eq_17_30_pow	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.eq_17_30_pow	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.eq_17_31_normwise_bound	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.eq_17_31_normwise_bound	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.eq_17_32_componentwise_bound	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.eq_17_32_componentwise_bound	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.hasSum_GiE_entry_drazinIG	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.hasSum_GiE_entry_drazinIG	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.indexOneDrazinInverse_eq_drazinIG	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.indexOneDrazinInverse_eq_drazinIG	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.indexOneDrazinInverse_unique	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.indexOneDrazinInverse_unique	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.infNorm_GiE_Minv_le	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.infNorm_GiE_Minv_le	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.infNorm_matPow_J_bottomProjector_le	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.infNorm_matPow_J_bottomProjector_le	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.matMul_bottomProjector_left	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.matMul_bottomProjector_left	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.matMul_bottomProjector_right	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.matMul_bottomProjector_right	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.matMul_matSub_id_apply	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.matMul_matSub_id_apply	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.matPow_G_tendsto_limit_drazin	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.matPow_G_tendsto_limit_drazin	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.matPow_J_cross	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.matPow_J_cross	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.matPow_J_mul_W_entry_tendsto_zero	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.matPow_J_mul_W_entry_tendsto_zero	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.matSub_id_G_mul_drazinIG_eq_semiconvergentE	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.matSub_id_G_mul_drazinIG_eq_semiconvergentE	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.matSub_id_J_cross	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.matSub_id_J_cross	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.matSub_id_J_mul_bottomProjector	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.matSub_id_J_mul_bottomProjector	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.matSub_id_J_top_row	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.matSub_id_J_top_row	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.matSub_id_matMul_apply	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.matSub_id_matMul_apply	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.singularErrorSourceNormSum_le_tsum	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.singularErrorSourceNormSum_le_tsum	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.stationaryDrazinRangeProjector_drazinIG_eq_semiconvergentE	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.stationaryDrazinRangeProjector_drazinIG_eq_semiconvergentE	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.sum_range_matPow_J_bottomProjector_entry	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.sum_range_matPow_J_bottomProjector_entry	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.summable_abs_GiE_Minv_entry	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.summable_abs_GiE_Minv_entry	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.summable_infNorm_GiE_Minv	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.summable_infNorm_GiE_Minv	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.topProjector_add_bottomProjector	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.topProjector_add_bottomProjector	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.tsum_GiE_entry_eq_drazinIG	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.tsum_GiE_entry_eq_drazinIG	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationDrazin	NumStability.tsum_infNorm_GiE_Minv_le	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	NumStability.tsum_infNorm_GiE_Minv_le	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationRounded	NumStability.RoundedStationarySolveCertificate	public	definition	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Execution.RoundedCertificates	NumStability.RoundedStationarySolveCertificate	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationRounded	NumStability.flStationaryIterationLower	public	definition	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Execution.RoundedCertificates	NumStability.flStationaryIterationLower	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationRounded	NumStability.flStationaryIterationLower_actual_forward_bound	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section01.RoundedExecution	NumStability.flStationaryIterationLower_actual_forward_bound	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationRounded	NumStability.flStationaryIterationLower_localErrorBound	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section01.RoundedExecution	NumStability.flStationaryIterationLower_localErrorBound	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationRounded	NumStability.flStationaryIterationLower_solveCertificate	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Execution.RoundedCertificates	NumStability.flStationaryIterationLower_solveCertificate	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationRounded	NumStability.flStationaryIterationUpper	public	definition	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Execution.RoundedCertificates	NumStability.flStationaryIterationUpper	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationRounded	NumStability.flStationaryIterationUpper_actual_forward_bound	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section01.RoundedExecution	NumStability.flStationaryIterationUpper_actual_forward_bound	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationRounded	NumStability.flStationaryIterationUpper_localErrorBound	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section01.RoundedExecution	NumStability.flStationaryIterationUpper_localErrorBound	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationRounded	NumStability.flStationaryIterationUpper_solveCertificate	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Execution.RoundedCertificates	NumStability.flStationaryIterationUpper_solveCertificate	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationRounded	NumStability.localErrorBound_of_roundedStationarySolveCertificate	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section01.RoundedExecution	NumStability.localErrorBound_of_roundedStationarySolveCertificate	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationRounded	NumStability.sourceComputedIteration_actual_forward_bound	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section01.RoundedExecution	NumStability.sourceComputedIteration_actual_forward_bound	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationRounded	NumStability.sourceComputedIteration_actual_norm_forward_bound	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section01.RoundedExecution	NumStability.sourceComputedIteration_actual_norm_forward_bound	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationRounded	NumStability.stationaryLocalError	public	definition	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Execution.RoundedCertificates	NumStability.stationaryLocalError	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationRounded	NumStability.stationaryLocalError_sourceComputedIteration	public	theorem	NumStability.Source.Higham.Chapter17.Results.Section01.RoundedExecution	NumStability.stationaryLocalError_sourceComputedIteration	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationRounded	NumStability.stationaryRoundedRhs	public	definition	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Execution.RoundedCertificates	NumStability.stationaryRoundedRhs	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationRounded	NumStability.stationaryRoundedRhs_error_bound	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Execution.RoundedCertificates	NumStability.stationaryRoundedRhs_error_bound	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.G_fixes_oneEigenProjector_apply	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.BlockForm.ProjectorLimit	NumStability.G_fixes_oneEigenProjector_apply	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.G_mul_oneEigenProjector_eq	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.BlockForm.ProjectorLimit	NumStability.G_mul_oneEigenProjector_eq	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.J_mul_topProjector	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.BlockForm.ProjectorLimit	NumStability.J_mul_topProjector	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.conjugate_matMul	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.BlockForm.ProjectorLimit	NumStability.conjugate_matMul	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.eq_conjugate_of_similarity	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.BlockForm.ProjectorLimit	NumStability.eq_conjugate_of_similarity	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.matMul_row_id	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.BlockForm.ProjectorLimit	NumStability.matMul_row_id	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.matMul_row_zero	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.BlockForm.ProjectorLimit	NumStability.matMul_row_zero	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.matPow_G_tendsto_oneEigenProjector	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.BlockForm.ProjectorLimit	NumStability.matPow_G_tendsto_oneEigenProjector	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.matPow_J_bottom_row_sum	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.BlockForm.ProjectorLimit	NumStability.matPow_J_bottom_row_sum	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.matPow_J_top_entry	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.BlockForm.ProjectorLimit	NumStability.matPow_J_top_entry	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.matSub_id_semiconvergentE	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.BlockForm.ProjectorLimit	NumStability.matSub_id_semiconvergentE	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.oneEigenProjector	public	definition	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.BlockForm.ProjectorLimit	NumStability.oneEigenProjector	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.oneEigenProjector_idempotent	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.BlockForm.ProjectorLimit	NumStability.oneEigenProjector_idempotent	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.semiconvergentE	public	definition	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.BlockForm.ProjectorLimit	NumStability.semiconvergentE	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.singular_error_split_semiconvergent	public	theorem	NumStability.Source.Higham.Chapter17.Results.Equation27.SingularErrorSplit	NumStability.singular_error_split_semiconvergent	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.topProjector	public	definition	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.BlockForm.ProjectorLimit	NumStability.topProjector	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.topProjector_apply_bottom	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.BlockForm.ProjectorLimit	NumStability.topProjector_apply_bottom	public_name_preserved	present_exactly_once
NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.topProjector_apply_top	public	theorem	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.BlockForm.ProjectorLimit	NumStability.topProjector_apply_top	public_name_preserved	present_exactly_once
