declaration	baseline_owner	destination_module	retention	candidate_occurrences
NumStability.higham13_rowdom_largeL_L	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.DiagonalDominance.Bounds	public_name_preserved	present_exactly_once
NumStability.higham13_rowdom_largeL_U	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.DiagonalDominance.Bounds	public_name_preserved	present_exactly_once
NumStability.higham13_rowdom_largeL_arbitrarily_large	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.DiagonalDominance.Bounds	public_name_preserved	present_exactly_once
NumStability.higham13_rowdom_largeL_reconstructs	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.DiagonalDominance.Bounds	public_name_preserved	present_exactly_once
NumStability.higham13_rowdom_largeL_row_block_diag_dom	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.DiagonalDominance.Bounds	public_name_preserved	present_exactly_once
NumStability.higham13_rowdom_largeL_subdiagonal_entry	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.DiagonalDominance.Bounds	public_name_preserved	present_exactly_once
NumStability.higham13_table13_1_arbitrary_backward_error_from_growth	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.BackwardErrorBounds.Endpoints	public_name_preserved	present_exactly_once
NumStability.higham13_table13_1_arbitrary_product_family_from_eq13_22_source_norms	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.ProductTransfers.Families	public_name_preserved	present_exactly_once
NumStability.higham13_table13_1_backward_error_from_product_bound	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.BackwardErrorBounds.Endpoints	public_name_preserved	present_exactly_once
NumStability.higham13_table13_1_block_row_bdd_backward_error_from_growth	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.BackwardErrorBounds.Endpoints	public_name_preserved	present_exactly_once
NumStability.higham13_table13_1_col_bdd_backward_error	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.BackwardErrorBounds.Endpoints	public_name_preserved	present_exactly_once
NumStability.higham13_table13_1_col_bdd_product_family_from_source_norms	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.ProductTransfers.Families	public_name_preserved	present_exactly_once
NumStability.higham13_table13_1_implementation1_family_from_partitioned_computation_and_product_transfer	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.BackwardErrorBounds.Endpoints	public_name_preserved	present_exactly_once
NumStability.higham13_table13_1_point_col_bdd_backward_error	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.BackwardErrorBounds.Endpoints	public_name_preserved	present_exactly_once
NumStability.higham13_table13_1_point_col_bdd_product_family_from_source_norms	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.ProductTransfers.Families	public_name_preserved	present_exactly_once
NumStability.higham13_table13_1_point_row_backward_error_from_growth	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.BackwardErrorBounds.Endpoints	public_name_preserved	present_exactly_once
NumStability.higham13_table13_1_point_row_product_family_from_eq13_23_source_norms	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.ProductTransfers.Families	public_name_preserved	present_exactly_once
NumStability.higham13_table13_1_spd_backward_error	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.BackwardErrorBounds.Endpoints	public_name_preserved	present_exactly_once
NumStability.higham13_table13_1_spd_product_family_from_eq13_24_source_norms	NumStability.Source.Higham.Chapter13.Table01	NumStability.Source.Higham.Chapter13.Table01.ProductTransfers.Families	public_name_preserved	present_exactly_once
